"Time (ms)";"Trajectory 1"
"0";"0"
"8";"-0.110054"
"17";"-0.2223358"
"25";"-0.3249931"
"33";"-0.3958549"
"42";"-0.4182739"
"50";"-0.3929024"
"58";"-0.3367805"
"67";"-0.2734756"
"75";"-0.2228546"
"83";"-0.1948013"
"92";"-0.1884766"
"100";"-0.1967087"
"108";"-0.2113609"
"117";"-0.2269516"
"125";"-0.2410736"
"133";"-0.2523422"
"142";"-0.2604332"
"150";"-0.2670517"
"158";"-0.2740364"
"167";"-0.2819214"
"175";"-0.2905464"
"184";"-0.299675"
"192";"-0.3091812"
"200";"-0.3188629"
"209";"-0.3281021"
"217";"-0.3356934"
"225";"-0.3398476"
"234";"-0.3397713"
"242";"-0.3382568"
"250";"-0.3400383"
"259";"-0.3463058"
"267";"-0.3540802"
"275";"-0.3611908"
"284";"-0.3678169"
"292";"-0.3735809"
"300";"-0.3772697"
"309";"-0.3795586"
"317";"-0.3825226"
"325";"-0.386425"
"334";"-0.3900032"
"342";"-0.3938866"
"350";"-0.3998604"
"359";"-0.4068146"
"367";"-0.4110832"
"375";"-0.4111023"
"384";"-0.4090881"
"392";"-0.4087601"
"400";"-0.4123917"
"409";"-0.4189949"
"417";"-0.4257202"
"425";"-0.4311104"
"434";"-0.4354401"
"442";"-0.4391975"
"450";"-0.4434509"
"459";"-0.4495125"
"467";"-0.4567757"
"475";"-0.4633446"
"484";"-0.4692459"
"492";"-0.4765053"
"500";"-0.4862976"
"509";"-0.4980774"
"517";"-0.5107613"
"526";"-0.5233459"
"534";"-0.5352974"
"542";"-0.5470123"
"551";"-0.559185"
"559";"-0.571785"
"567";"-0.5848503"
"576";"-0.5998726"
"584";"-0.6186409"
"592";"-0.6409607"
"601";"-0.6650467"
"609";"-0.6893044"
"617";"-0.7127686"
"626";"-0.7347298"
"634";"-0.7548981"
"642";"-0.7733345"
"651";"-0.7896843"
"659";"-0.8036232"
"667";"-0.8154259"
"676";"-0.8248825"
"684";"-0.8309822"
"692";"-0.8327637"
"701";"-0.8298569"
"709";"-0.822979"
"717";"-0.8144112"
"726";"-0.8068733"
"734";"-0.8014908"
"742";"-0.7974434"
"751";"-0.7929955"
"759";"-0.7859535"
"767";"-0.7742691"
"776";"-0.7576714"
"784";"-0.7385788"
"792";"-0.7203674"
"801";"-0.704174"
"809";"-0.6883469"
"817";"-0.6719933"
"826";"-0.6572418"
"834";"-0.646843"
"843";"-0.6411171"
"851";"-0.6374435"
"859";"-0.6312065"
"868";"-0.6173935"
"876";"-0.592186"
"884";"-0.5530281"
"893";"-0.4980545"
"901";"-0.4271164"
"909";"-0.3437576"
"918";"-0.2541695"
