 -0.0007 , -0.0006 , -0.3173 ,  0.7846 ,  0.6208 ,  0.3288 ,
 -0.1217 , -0.0813 , -0.1597 ,  0.9036 , -1.4186 , -0.3234 ,
 -0.0805 ,  0.0816 , -0.1596 , -0.1173 ,  0.4801 , -0.6487 ,
 -0.0416 , -0.0407 ,  0.1580 , -1.4924 , -1.3045 , -0.0207 ,
 -0.0006 , -0.0411 , -0.1586 , -1.4835 ,  1.2515 ,  0.3270 ,
  0.0815 ,  0.0815 ,  0.1595 , -0.9053 , -0.4991 ,  0.0049 ,
 -0.0410 , -0.0004 , -0.3177 ,  0.7850 , -1.3091 ,  0.3288 ,
  0.0809 ,  0.0406 ,  0.1596 , -1.6171 , -1.1178 ,  0.6328 ,
 -0.2014 ,  0.0822 , -0.1608 , -0.1163 ,  0.2913 ,  0.0018 ,
  0.0006 ,  0.0411 ,  0.1586 , -0.0664 ,  1.2375 , -0.3270 ,
 -0.0797 , -0.0393 ,  0.4751 ,  0.0480 ,  0.5046 ,  0.2952 ,
  0.1211 , -0.0816 ,  0.3188 , -0.6608 , -0.4160 , -0.0012 ,
  0.0415 ,  0.1220 ,  0.1583 , -1.7479 , -0.5677 ,  0.3282 ,
 -0.0413 ,  0.0805 , -0.6351 , -0.1030 ,  0.5407 ,  0.0071 ,
  0.0001 ,  0.0812 , -0.1588 , -0.1180 ,  0.6059 ,  0.3270 ,
  0.0397 , -0.0413 , -0.1582 , -0.7089 ,  0.0700 , -0.3235 ,
  0.0390 , -0.0419 , -0.4754 ,  1.6254 ,  1.9353 ,  0.3306 ,
  0.0802 , -0.0819 ,  0.0010 ,  0.1222 ,  0.1415 ,  0.3252 ,
 -0.0409 , -0.0409 , -0.1590 ,  0.8415 , -0.6782 ,  0.9775 ,
 -0.0407 , -0.0813 , -0.0003 , -2.2014 , -0.0473 , -0.3252 ,
  0.0406 ,  0.0001 ,  0.1590 , -1.5551 ,  0.6859 , -0.0018 ,
 -0.0800 , -0.0396 ,  0.3165 ,  0.0540 ,  0.5048 , -0.9206 ,
 -0.0411 , -0.1224 ,  0.1574 , -1.3876 , -0.0391 ,  1.0002 ,
  0.0385 , -0.1229 ,  0.1594 , -1.3696 , -1.1657 , -0.0200 ,
  0.0398 ,  0.0400 , -0.3170 ,  0.7228 , -1.1910 ,  0.3288 ,
  0.0006 ,  0.0411 ,  0.1586 , -0.8412 , -0.0071 , -0.3270 ,
  0.0002 ,  0.0408 , -0.0001 , -0.0615 , -0.0078 ,  0.3252 ,
 -0.0804 ,  0.0412 , -0.0009 ,  1.4888 , -2.6230 ,  0.0000 ,
