idx_ini,idx_fin,x_ini,x_fin,t_pico,p_valor
1,6,60,62,25.0118633480674,0.00292682926829268
9,24,63.2,69.2,29.3901693892194,0.00292682926829268
26,101,70,100,111.192322590687,0.00292682926829268
