PctCiclo,SPM_t
60,-21.2753567783477
60.4,-20.5079254777974
60.8,-25.0118633480674
61.2,-20.7924847675353
61.6,-15.1140158470402
62,-9.44982922373114
62.4,-2.65292940825866
62.8,3.19085881397413
63.2,8.22697123146673
63.6,10.6512878501837
64,12.9215014553277
64.4,21.9146230485294
64.8,19.8050964424019
65.2,20.5300481911401
65.6,23.783959682567
66,23.5160687182527
66.4,27.7402990610972
66.8,27.7372718491288
67.2,29.3901693892194
67.6,24.1856011232189
68,29.140348691503
68.4,27.8657817133524
68.8,20.4751735504929
69.2,8.32581789197679
69.6,0.380836760462369
70,-8.45147971251404
70.4,-17.2698805133619
70.8,-26.3416440231123
71.2,-38.3791650289157
71.6,-53.056632640876
72,-66.2310601497434
72.4,-78.5743299129327
72.8,-86.8042596580264
73.2,-102.969062944554
73.6,-84.2623078186092
74,-80.0630560895368
74.4,-83.7079283779252
74.8,-83.488785291233
75.2,-80.231954617269
75.6,-78.7142220053696
76,-84.1394016818914
76.4,-82.3452701986973
76.8,-100.419633774246
77.2,-70.9515178715367
77.6,-47.7121181549305
78,-68.1953411484256
78.4,-94.6253841797142
78.8,-111.192322590687
79.2,-72.7400249576594
79.6,-107.607902489
80,-80.4204964158614
80.4,-93.9299673810166
80.8,-70.8187939988596
81.2,-75.2578001958596
81.6,-90.2153417394149
82,-76.4397252202864
82.4,-68.5616593807813
82.8,-72.7115905619024
83.2,-71.2447295463866
83.6,-67.2139083544301
84,-67.616519855745
84.4,-69.1148432394882
84.8,-67.5716221759076
85.2,-74.2932347600897
85.6,-72.2258537832394
86,-74.3775621492821
86.4,-74.6667446494651
86.8,-73.7377343233468
87.2,-78.2913581428692
87.6,-86.6391758364102
88,-89.9752140243506
88.4,-87.7255207694258
88.8,-83.4297155218763
89.2,-83.0146801111909
89.6,-82.6397151654248
90,-81.8482745837899
90.4,-81.0155114391558
90.8,-76.3772924709382
91.2,-75.2769052533888
91.6,-77.0913070117327
92,-72.334723864988
92.4,-72.93580217699
92.8,-70.6577396818772
93.2,-69.2388385116428
93.6,-68.7418148257286
94,-66.0171293635207
94.4,-65.0993866292352
94.8,-62.7870736648799
95.2,-64.8071922951945
95.6,-63.7020425976866
96,-59.3759663338939
96.4,-56.2648065255199
96.8,-49.379528852388
97.2,-51.5623197207835
97.6,-45.3245598059299
98,-44.051793754922
98.4,-42.5013987832828
98.8,-42.0808656834566
99.2,-37.9383214837583
99.6,-35.5949371295092
100,-32.5369502123046
