sub_id,sexo,talla_cm,masa_kg,r_crudo,rmse_crudo,rmsenorm_crudo,ganancia_b,offset_a,r_cal,rmse_cal,rmsenorm_cal
1,M,175,75.5278615475429,-0.335807512689005,24.7649946667378,4.96851817543551,-0.718411790879453,-20.6002652618382,0.335807512689004,18.9809905280052,4.46883476251234
4,M,183.5,68.7529807388109,-0.306047631664976,22.1734896261826,4.75104311926329,-0.733797149499495,-20.9651043920505,0.306047631664976,16.253467964761,4.49164304582777
8,F,171.6,75.6063604141372,-0.174271473487374,17.4082185860812,3.7089206020575,-0.759701536321114,-20.9546535354976,0.174271473487374,13.0213216104583,3.66229155169753
11,F,170.1,68.8386437396119,-0.171484490347165,23.4915279979442,4.6582145758805,-0.751860505509103,-20.886519454533,0.171484490347165,19.2354198034138,5.09255526077966
13,F,178,73.1549189537972,-0.268348599506739,24.604171314787,4.94504382057249,-0.728555183047869,-20.7461150422827,0.268348599506739,19.0098207009365,4.79167387655347
19,F,169,63.2347601966772,-0.0417140717817731,19.3977708676145,4.22549779750547,-0.785953071478296,-21.1394779374074,0.0417140717817732,15.4850832644832,4.41310445630196
22,M,184.5,85.818703009347,-0.448741896606976,20.2091109223762,4.61240059437246,-0.719633113485488,-20.67732214323,0.448741896606976,12.3066881367084,3.14288610363342
25,M,178,80.1891395373311,-0.290890130879878,19.8499972252305,4.48878347401241,-0.747076554214747,-20.7079838510191,0.290890130879878,13.2896730990425,3.37747295488613
28,M,172.5,103.593135418738,-0.43540402211779,26.9774494270454,5.53376127531048,-0.691324148232032,-20.4022583127499,0.43540402211779,20.4256833678852,4.69836903984262
31,M,183,80.5796896442,-0.399825028915953,27.3718883829282,5.84999367368856,-0.701465098324099,-20.3211299612413,0.399825028915954,19.6682280828263,4.45238062868642
37,M,186.6,90.3777449015748,-0.364507070231268,20.2069292786643,4.404430535557,-0.729213799171445,-20.7798859439337,0.364507070231268,12.9961442714742,3.72832534043666
40,M,183.6,136.136570143127,-0.434890230016386,24.6665126952329,5.99169171242082,-0.86002945814911,-22.2332587579053,0.434890230016386,17.3871896000896,5.86170216066058
43,M,179,61.0226744015572,-0.237918415352631,25.3192973063113,5.23316940464494,-0.744324963792031,-21.0920046339153,0.237918415352631,20.3548777330292,5.43406054967183
46,F,165,64.6102763234205,-0.232941756603289,22.0761653716856,4.59021821027258,-0.743446505010745,-20.8954890797651,0.23294175660329,17.3903925365375,4.52159097627179
49,M,174.5,80.6332071538085,-0.356229074712165,17.9963852670267,3.55378762667222,-0.71812027717576,-20.9466973342214,0.356229074712165,14.02325410322,4.11902152278567
