sub_id,sexo,talla_cm,masa_kg,r_crudo,rmse_crudo,rmsenorm_crudo,ganancia_b,offset_a,r_cal,rmse_cal,rmsenorm_cal
1,M,175,75.5278615475429,0.996526409304674,10.8418552123465,2.59216415042753,0.761333365735829,-11.7049960318467,0.996526409304674,2.50428725186217,0.430004004810572
2,F,165,75.2164101901484,0.9946612517568,14.4679731271201,3.23316804446034,0.758595830860037,-11.6348355646668,0.9946612517568,7.05025739585442,1.14618268800781
3,M,180,90.1785960656099,0.992659257478987,8.93488599745368,2.0534241806888,0.763620578676319,-11.7733060295937,0.992659257478987,4.4330049224443,1.01494427388882
4,M,183.5,68.7529807388109,0.993277726468993,10.3140538995274,2.48699815214042,0.764039263286242,-11.7362657290705,0.993277726468993,3.19046722785836,0.627598039711752
5,M,182.6,95.0301805072904,0.979992956439545,9.65637774968841,2.08926208355956,0.763759012448404,-11.7654718153476,0.979992956439545,5.0189219305365,1.18519335800541
6,M,167.5,70.5547276937562,0.971586748154918,12.91510385679,2.89127775346909,0.765750610820415,-11.692934053218,0.971586748154918,4.79550559653075,0.902726450917438
8,F,171.6,75.6063604141372,0.964310764000441,14.0309206751173,3.13510447217614,0.767931606644552,-11.6938292947203,0.964310764000441,6.63511286160737,1.15507102425408
11,F,170.1,68.8386437396119,0.990096188980616,10.2207852002111,2.28600656502342,0.761747067545331,-11.7262667676963,0.990096188980616,3.22443428891951,0.864924944507306
12,M,185.6,89.7650312805226,0.979596192656326,12.4008507161435,2.52835258670164,0.768565573291342,-11.7833894359937,0.979596192656326,8.98792734890653,1.58832897748492
13,F,178,73.1549189537972,0.987424047085995,10.8008084186046,2.50302060121237,0.761622168359973,-11.7141450290224,0.987424047085995,3.4934633057943,0.727535334564992
14,M,176.5,94.315477454296,0.998281096954473,11.3264998879676,2.43212417179193,0.756102266252902,-11.7236190558034,0.998281096954473,7.8835267847466,1.29055582869672
15,F,166.7,62.8642010559092,0.998407332215347,12.8304573283174,2.74945382594547,0.756505534885524,-11.6856255989921,0.998407332215347,7.87738811699641,1.25259170638925
