sub_id,config,r_crudo,r_cal,rmse_cal,rmsenorm_cal,ganancia
1,Zhao_izquierda_nativo,-0.250206186276877,0.250206186276877,19.2140381132067,3.80686696363638,-0.210129061007295
4,Zhao_izquierda_nativo,-0.281990011458847,0.281990011458847,16.2886411674859,3.35634028071819,-0.211377645810813
8,Zhao_izquierda_nativo,-0.42038145254724,0.42038145254724,11.9160933261567,2.48689448827783,-0.208375143825555
11,Zhao_izquierda_nativo,-0.352694296669916,0.352694296669916,18.3582693134558,3.82520380164337,-0.204317265133914
13,Zhao_izquierda_nativo,-0.343769381316016,0.343769381316016,18.5767814295282,3.69593575550497,-0.205013147092366
19,Zhao_izquierda_nativo,-0.411438346436395,0.411438346436395,13.6899686296196,2.89340580326261,-0.206363899879011
22,Zhao_izquierda_nativo,-0.260319223112355,0.260319223112355,13.2065220109427,2.7959678218874,-0.215634425319419
25,Zhao_izquierda_nativo,-0.359119610875211,0.359119610875211,12.8084272153484,2.69163055737954,-0.210757713775876
28,Zhao_izquierda_nativo,-0.243257795752147,0.243257795752147,20.9482522882135,4.20205194724583,-0.209048107672286
31,Zhao_izquierda_nativo,-0.244376022556864,0.244376022556864,20.2089558599271,4.07995328629449,-0.211291107016899
37,Zhao_izquierda_nativo,-0.397120913442203,0.397120913442203,12.7764152513691,2.61648048500872,-0.209527330950303
40,Zhao_izquierda_nativo,-0.313725389349526,0.313725389349526,15.2990663903369,3.29939066818821,-0.210705719365839
43,Zhao_izquierda_nativo,-0.238216461665333,0.238216461665333,20.2246607188499,4.23034664475886,-0.210499725776924
46,Zhao_izquierda_nativo,-0.18887093828206,0.188870938282059,17.6519745205627,3.65839713321746,-0.213894880584307
49,Zhao_izquierda_nativo,-0.238344109974679,0.238344109974679,14.8899416248737,3.25517941338844,-0.214587066738068
1,Zhao_derecha_alt,0.576523088481325,0.576523088481325,16.3186551924988,3.85004270281559,0.415696476281096
4,Zhao_derecha_alt,0.579010379476247,0.579010379476247,13.9117874734175,3.47453372549428,0.422086575460028
8,Zhao_derecha_alt,0.697968318625852,0.697968318625852,9.39970413496777,2.52811266573018,0.421765784214151
11,Zhao_derecha_alt,0.624169383500254,0.624169383500254,15.4606289459591,3.71140857067935,0.412925257298923
13,Zhao_derecha_alt,0.661232522312759,0.661232522312759,15.0996781486914,3.5119519681502,0.411297382856531
19,Zhao_derecha_alt,0.656596806820452,0.656596806820452,11.2653993622336,2.96708521474836,0.419455914529462
22,Zhao_derecha_alt,0.572252923687362,0.572252923687362,11.4627910255209,3.26695920199819,0.428600904743468
25,Zhao_derecha_alt,0.619320075185036,0.619320075185036,10.9813370378133,3.20310620029045,0.425222250481193
28,Zhao_derecha_alt,0.547885635887668,0.547885635887668,18.2623110809132,4.37600382546401,0.414454664479461
31,Zhao_derecha_alt,0.543716709151951,0.543716709151951,17.554632987489,4.43591768908373,0.417768047790538
37,Zhao_derecha_alt,0.646900122188828,0.646900122188827,10.7336159255389,3.02867497927134,0.425112901618597
40,Zhao_derecha_alt,0.60544448871231,0.60544448871231,13.124622467877,3.34271588012987,0.423215591055291
43,Zhao_derecha_alt,0.558102910172173,0.558102910172173,17.3884312829346,4.18078826973521,0.415811093979625
46,Zhao_derecha_alt,0.481837167785095,0.481837167785095,15.6894872764554,3.90633602187455,0.422065816987654
49,Zhao_derecha_alt,0.540924012126298,0.540924012126298,13.1174360769442,3.31612033932838,0.425823634764898
1,Yun_R_nativo,-0.335807512689005,0.335807512689004,18.9809905280052,4.46883476251234,-0.718411790879453
4,Yun_R_nativo,-0.306047631664976,0.306047631664976,16.253467964761,4.49164304582777,-0.733797149499495
8,Yun_R_nativo,-0.174271473487374,0.174271473487374,13.0213216104583,3.66229155169753,-0.759701536321114
11,Yun_R_nativo,-0.171484490347165,0.171484490347165,19.2354198034138,5.09255526077966,-0.751860505509103
13,Yun_R_nativo,-0.268348599506739,0.268348599506739,19.0098207009365,4.79167387655347,-0.728555183047869
19,Yun_R_nativo,-0.0417140717817731,0.0417140717817732,15.4850832644832,4.41310445630196,-0.785953071478296
22,Yun_R_nativo,-0.448741896606976,0.448741896606976,12.3066881367084,3.14288610363342,-0.719633113485488
25,Yun_R_nativo,-0.290890130879878,0.290890130879878,13.2896730990425,3.37747295488613,-0.747076554214747
28,Yun_R_nativo,-0.43540402211779,0.43540402211779,20.4256833678852,4.69836903984262,-0.691324148232032
31,Yun_R_nativo,-0.399825028915953,0.399825028915954,19.6682280828263,4.45238062868642,-0.701465098324099
37,Yun_R_nativo,-0.364507070231268,0.364507070231268,12.9961442714742,3.72832534043666,-0.729213799171445
40,Yun_R_nativo,-0.434890230016386,0.434890230016386,17.3871896000896,5.86170216066058,-0.86002945814911
43,Yun_R_nativo,-0.237918415352631,0.237918415352631,20.3548777330292,5.43406054967183,-0.744324963792031
46,Yun_R_nativo,-0.232941756603289,0.23294175660329,17.3903925365375,4.52159097627179,-0.743446505010745
49,Yun_R_nativo,-0.356229074712165,0.356229074712165,14.02325410322,4.11902152278567,-0.71812027717576
1,Yun_L_alt,-0.223135248415226,0.223135248415226,19.6700912106659,4.2424497858535,-0.180096327633424
4,Yun_L_alt,-0.127249468204719,0.127249468204719,16.8903698191468,3.99387388241783,-0.206830180286791
8,Yun_L_alt,-0.273314632335841,0.273314632335841,12.8607414698768,3.17241028382347,-0.186263807863635
11,Yun_L_alt,-0.287522365262628,0.287522365262628,19.2414530853235,4.56458248899862,-0.15897553201958
13,Yun_L_alt,-0.247882493340954,0.247882493340954,19.4872558680678,4.38699464391315,-0.173184759898498
19,Yun_L_alt,-0.294928036310645,0.294928036310645,14.6581219617706,3.59360873677435,-0.172529342849934
22,Yun_L_alt,0.0435584829492002,-0.0435584829492002,13.6006560235029,3.00751860640839,-0.231246970679205
25,Yun_L_alt,-0.0883625907334856,0.0883625907334856,13.6652243034018,3.05953873647847,-0.218190458033544
28,Yun_L_alt,0.198709771777468,-0.198709771777468,21.9400264973272,4.73489097065757,-0.280249573977663
31,Yun_L_alt,-0.0268457242867882,0.0268457242867881,20.7668059896061,4.34529086786849,-0.220882900752355
