sub_id,sexo,talla_cm,masa_kg,r_crudo,rmse_crudo,rmsenorm_crudo,ganancia_b,offset_a,r_cal,rmse_cal,rmsenorm_cal
1,M,175,75.5278615475429,-0.250206186276877,34.4799985733561,11.8190912647476,-0.210129061007295,-20.5013401538974,0.250206186276877,19.2140381132067,3.80686696363638
4,M,183.5,68.7529807388109,-0.281990011458847,34.0246862621849,12.4214317536857,-0.211377645810813,-20.6831159081099,0.281990011458847,16.2886411674859,3.35634028071819
8,F,171.6,75.6063604141372,-0.42038145254724,31.1682987953954,11.4015078626185,-0.208375143825555,-20.6056604383917,0.42038145254724,11.9160933261567,2.48689448827783
11,F,170.1,68.8386437396119,-0.352694296669916,35.0457698882688,12.2674455859737,-0.204317265133914,-20.4799493267401,0.352694296669916,18.3582693134558,3.82520380164337
13,F,178,73.1549189537972,-0.343769381316016,36.0025861011228,12.495315544535,-0.205013147092366,-20.4377549867435,0.343769381316016,18.5767814295282,3.69593575550497
19,F,169,63.2347601966772,-0.411438346436395,32.0931747914953,11.4863958523816,-0.206363899879011,-20.5415255905116,0.411438346436395,13.6899686296196,2.89340580326261
22,M,184.5,85.818703009347,-0.260319223112355,31.3926817321025,11.4869884912053,-0.215634425319419,-20.6104226402804,0.260319223112355,13.2065220109427,2.7959678218874
25,M,178,80.1891395373311,-0.359119610875211,31.5773679828504,11.2466153194116,-0.210757713775876,-20.4466441649891,0.359119610875211,12.8084272153484,2.69163055737954
28,M,172.5,103.593135418738,-0.243257795752147,35.3668261212987,11.7806659766517,-0.209048107672286,-20.4186285829275,0.243257795752147,20.9482522882135,4.20205194724583
31,M,183,80.5796896442,-0.244376022556864,35.6437838275677,11.9374120737435,-0.211291107016899,-20.2831809653439,0.244376022556864,20.2089558599271,4.07995328629449
37,M,186.6,90.3777449015748,-0.397120913442203,33.427387674062,12.4025550644446,-0.209527330950303,-20.5217777183906,0.397120913442203,12.7764152513691,2.61648048500872
40,M,183.6,136.136570143127,-0.313725389349526,33.8842377289641,12.7639072195587,-0.210705719365839,-20.8202577483849,0.313725389349526,15.2990663903369,3.29939066818821
43,M,179,61.0226744015572,-0.238216461665333,35.6935330420648,12.5372408864195,-0.210499725776924,-20.71203838276,0.238216461665333,20.2246607188499,4.23034664475886
46,F,165,64.6102763234205,-0.18887093828206,31.185109851919,11.0130326238989,-0.213894880584307,-20.7321374287369,0.188870938282059,17.6519745205627,3.65839713321746
49,M,174.5,80.6332071538085,-0.238344109974679,31.1414420703674,11.9352293818363,-0.214587066738068,-20.9544193231542,0.238344109974679,14.8899416248737,3.25517941338844
