"Time (ms)";"Trajectory 1"
"0";"0"
"8";"1.212536"
"17";"2.414446"
"25";"3.606041"
"33";"4.794485"
"42";"5.987154"
"50";"7.188423"
"58";"8.398783"
"67";"9.613914"
"75";"10.8262"
"83";"12.02842"
"92";"13.21548"
"100";"14.38378"
"108";"15.53173"
"117";"16.66078"
"125";"17.77402"
"133";"18.87327"
"142";"19.95785"
"150";"21.0252"
"158";"22.07221"
"167";"23.09576"
"175";"24.09352"
"184";"25.06499"
"192";"26.01186"
"200";"26.93742"
"209";"27.84512"
"217";"28.73763"
"225";"29.61743"
"234";"30.48725"
"242";"31.34902"
"250";"32.20269"
"259";"33.04581"
"267";"33.87379"
"275";"34.68083"
"284";"35.46156"
"292";"36.2123"
"300";"36.93211"
"309";"37.62229"
"317";"38.28584"
"325";"38.92702"
"334";"39.55075"
"342";"40.16146"
"350";"40.76269"
"359";"41.3576"
"367";"41.94924"
"375";"42.53994"
"384";"43.13136"
"392";"43.72558"
"400";"44.32542"
"409";"44.93321"
"417";"45.54951"
"425";"46.17277"
"434";"46.80009"
"442";"47.42889"
"450";"48.05771"
"459";"48.68562"
"467";"49.31107"
"475";"49.93121"
"484";"50.54219"
"492";"51.14007"
"500";"51.72285"
"509";"52.29291"
"517";"52.858"
