"Time (ms)";"Trajectory 1"
"0";"0"
"8";"1.103506"
"17";"2.210118"
"25";"3.325465"
"33";"4.450285"
"42";"5.580549"
"50";"6.709778"
"58";"7.832335"
"67";"8.945494"
"75";"10.04886"
"83";"11.14257"
"92";"12.22637"
"100";"13.30011"
"108";"14.36425"
"117";"15.41911"
"125";"16.46414"
"133";"17.4985"
"142";"18.52212"
"150";"19.53576"
"158";"20.53974"
"167";"21.53243"
"175";"22.51044"
"184";"23.47047"
"192";"24.41104"
"200";"25.33294"
"209";"26.23794"
"217";"27.12749"
"225";"28.003"
"234";"28.86635"
"242";"29.71919"
"250";"30.56191"
"259";"31.39403"
"267";"32.21476"
"275";"33.02282"
"284";"33.81628"
"292";"34.59288"
"300";"35.35036"
"309";"36.08677"
"317";"36.80103"
"325";"37.49273"
"334";"38.16153"
"342";"38.8073"
"350";"39.43093"
"359";"40.03449"
"367";"40.62044"
"375";"41.19091"
"384";"41.74805"
"392";"42.29433"
"400";"42.83202"
"409";"43.36272"
"417";"43.88776"
"425";"44.40797"
"434";"44.92322"
"442";"45.43331"
"450";"45.93877"
"459";"46.44059"
"467";"46.93925"
"475";"47.43407"
"484";"47.92327"
"492";"48.40472"
"500";"48.87657"
"509";"49.33715"
"517";"49.78481"
"526";"50.21831"
"534";"50.63658"
"542";"51.03788"
"551";"51.4197"
"559";"51.77921"
"567";"52.1147"
"576";"52.42779"
"584";"52.72474"
"592";"53.01554"
