sub_id,articulacion,candidato,r_crudo,r_cal,rmse_cal
1,cadera,Koopman,0.975229956637444,0.975229956637444,7.6089701499452
2,cadera,Koopman,0.971487673156271,0.971487673156271,9.78467831070943
3,cadera,Koopman,0.984304276402426,0.984304276402426,3.53781037963965
4,cadera,Koopman,0.92632332933852,0.92632332933852,7.40829729904354
5,cadera,Koopman,0.99177483832289,0.99177483832289,14.4691915573567
6,cadera,Koopman,0.991089307732873,0.991089307732873,4.43848077286448
7,cadera,Koopman,0.97328336368051,0.97328336368051,9.70767160547871
8,cadera,Koopman,0.966289223482441,0.966289223482441,5.03945503426352
9,cadera,Koopman,0.967703683747877,0.967703683747877,5.6527185825336
10,cadera,Koopman,0.969739403175234,0.969739403175234,6.24791868729969
11,cadera,Koopman,0.907568076435783,0.907568076435783,6.66063810259235
12,cadera,Koopman,0.996763072370385,0.996763072370385,7.33620228971461
13,cadera,Koopman,0.973077909698191,0.973077909698191,9.94526651090889
14,cadera,Koopman,0.989590276190422,0.989590276190422,6.42294653937532
15,cadera,Koopman,0.974599933165739,0.974599933165739,4.24148040076258
16,cadera,Koopman,0.962675528865497,0.962675528865497,6.63371461502052
17,cadera,Koopman,0.984404190928793,0.984404190928793,8.65046293465272
18,cadera,Koopman,0.968576694529155,0.968576694529155,5.44211132374387
19,cadera,Koopman,0.994174329388684,0.994174329388684,1.57215001180031
20,cadera,Koopman,0.972863082173021,0.972863082173021,4.47809317248512
21,cadera,Koopman,0.948167345737565,0.948167345737565,7.16011460291472
22,cadera,Koopman,0.975313155927183,0.975313155927183,4.92895523633228
23,cadera,Koopman,0.96965103162475,0.96965103162475,8.96739650901753
24,cadera,Koopman,0.992651747807847,0.992651747807847,7.5192890301979
25,cadera,Koopman,0.996534467022752,0.996534467022752,1.19124773031805
26,cadera,Koopman,0.984863308443862,0.984863308443862,13.9588065982582
27,cadera,Koopman,0.987865771476251,0.987865771476251,15.1666148485268
28,cadera,Koopman,0.996075780926197,0.996075780926197,6.49990361166636
29,cadera,Koopman,0.966231440324969,0.96623144032497,5.56741275181477
30,cadera,Koopman,0.942589416527247,0.942589416527247,6.15439099830552
31,cadera,Koopman,0.995308623747156,0.995308623747156,2.2264079893586
32,cadera,Koopman,0.995374487394636,0.995374487394636,4.55287303868826
33,cadera,Koopman,0.958868079295193,0.958868079295193,15.2206369323634
34,cadera,Koopman,0.969811890858195,0.969811890858195,9.47526985121844
35,cadera,Koopman,0.994440376184138,0.994440376184138,11.6514761091619
36,cadera,Koopman,0.990389632751151,0.990389632751151,10.1005583353441
37,cadera,Koopman,0.995634402980591,0.995634402980591,2.6428560697036
38,cadera,Koopman,0.967171906262447,0.967171906262447,4.71725360180185
39,cadera,Koopman,0.996904182506977,0.996904182506976,4.84238994309309
