frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
282,2.82,-1759.3031,836.40643,-1743.87,441.955,-1819.5562,35.14983,4.291531428829795e-18,4.4140259193444864e-20,-1.2072338486948956e-17,-3.6527497521788916e-16,1.6732920395767856e-15,-6.277877525123346e-17,2.3737556226199883e-10,3.018740146742971e-10,-2.9735535811425963e-09,-3.122427216339929e-07,1.261218606884995e-07,-1.4183896634989424e-08,-0.7388464033603668,0.5843669831752777,-2.6164373397827148,-5.0069640398025514,74.98988189697266,-103.85921707153321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,2.84,-1740.8,835.9023,-1736.29,440.901,-1820.4883,33.82608,2.924604899353591e-18,-3.665694704421692e-18,5.577931888450833e-17,8.688484316885786e-16,-1.2924661696927598e-14,-8.656541407425626e-16,1.593204325411879e-10,6.811943731310777e-10,-3.7852582401853855e-09,-3.303196763226879e-07,1.8102208088066618e-07,9.671965009450113e-09,-0.7870282053947448,0.6093633890151977,-2.7595124006271363,-12.521696090698242,85.63199234008789,-99.08750839233399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,2.98,-1604.0157,826.6473,-1656.41,435.376,-1826.8225,53.37877,1.0061594207556462e-15,5.263046417544647e-16,-1.1766125268243772e-14,-2.41688964577446e-13,2.355875954387909e-12,1.0015992687475127e-13,5.599485639606883e-08,4.395815564328664e-09,-4.5161128809922956e-07,-5.6797793513396754e-05,1.629682419661549e-05,-6.025172433510307e-06,-3.044389581680298,0.22201384156942366,9.067145729064942,129.16278762817382,-361.7283996582031,-138.90421295166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,2.99,-1592.091,825.28955,-1647.92,434.521,-1826.0321,55.527813,1.492515855253362e-15,5.325914208741486e-16,-1.3156519856172928e-14,-2.834738059521655e-13,2.5503970896983973e-12,9.333122314813917e-14,8.289732278399242e-08,3.8441758398732875e-08,-7.879909162511467e-07,-9.214321034960449e-05,3.0557090758520646e-05,-7.639344858034747e-06,-3.548247218132019,0.6968504369258881,3.621951287984848,105.91731033325195,74.21521949768066,-105.75020599365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,3.0,-1580.4618,823.8892,-1638.61,433.275,-1825.1779,57.925034,1.9781496912377315e-15,3.80780053607211e-16,-1.1806939466103926e-14,-2.7738303732920135e-13,2.1429919904586424e-12,5.13138905417496e-14,1.0965515215843879e-07,9.277570995891438e-08,-1.1991057817795081e-06,-0.0001324635923083406,4.88629379105987e-05,-8.423923372902208e-06,-3.7386030673980715,1.618422281742096,-8.834481883049012,27.8411658257246,901.4872924804688,-41.373188412189485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,3.03,-1543.2738,819.7942,-1608.78,429.285,-1821.4235,67.19766,1.4374848499422114e-15,-2.108581626631637e-15,3.273043931695772e-14,5.198544367332122e-13,-7.520395547619407e-12,-4.937999418001479e-13,7.810509998762427e-08,3.7429266797062155e-07,-2.006534657539305e-06,-0.00017211484519066289,9.68682645179797e-05,6.359443409564846e-06,1.6763980701565742,7.904683542251587,-108.32804718017579,-773.769287109375,6323.11357421875,393.5083312988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,3.04,-1530.1888,818.5768,-1596.8,427.523,-1820.0245,71.14474,-5.863571376331138e-16,-3.957319125440662e-15,7.00810411899443e-14,1.2449641090175185e-12,-1.5266007728775845e-11,-8.7118433669299e-13,-3.504901369133506e-08,4.670994854905075e-07,-1.4741516565663914e-06,-8.299525434267707e-05,8.441296886303462e-05,2.2612972861679738e-05,7.171118211746216,10.71072883605957,-161.73963928222656,-1275.5607177734375,8794.557568359374,587.1204345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,3.05,-1517.306,817.3108,-1585.21,427.021,-1817.1718,75.261734,-4.339412532749349e-15,-6.33182331537935e-15,1.210936488886191e-13,2.270893726969564e-12,-2.5619069539406513e-11,-1.336375769159931e-12,-2.4418666555448e-07,5.036235677380319e-07,1.463386780642395e-08,0.00011578361663850955,3.420619239022926e-05,4.723970487248152e-05,15.073029518127441,13.01038122177124,-220.1149108886719,-1894.1748168945312,11134.9521484375,750.2912658691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,3.06,-1503.879,816.18964,-1572.03,425.645,-1814.7605,80.59348,-1.0297569359854009e-14,-8.99692104670835e-15,1.829492734064554e-13,3.5655407445989163e-12,-3.785150595736475e-11,-1.828961201238988e-12,-5.754714919703475e-07,4.195046841459771e-07,2.90380838805504e-06,0.0004664809093810618,-7.391335511783837e-05,8.055634316406213e-05,25.12071285247803,13.978874683380127,-279.0063140869141,-2629.85390625,13008.485546875,834.5551452636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,3.07,-1489.958,815.5667,-1558.15,424.321,-1811.573,86.58216,-1.8706647254178917e-14,-1.1406018697487615e-14,2.4682928633943875e-13,4.983747876191602e-12,-4.996937655321609e-11,-2.223081636311408e-12,-1.0421368415336473e-06,1.268052537639619e-07,7.625026819368941e-06,0.0010044449532870202,-0.0002612958895042539,0.00012050207660649904,36.49046325683594,12.904006004333496,-335.06251525878906,-3491.8327880859374,14177.12705078125,800.7041870117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
