frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
294,2.94,-1741.3268,883.8979,-1752.08,438.11,-1856.7682,-8.877543,6.421431408413675e-21,1.3408013088890501e-21,-4.0128986238038607e-20,-3.692096365699945e-18,3.516973999575374e-18,-4.850970897965785e-19,-5.912070659419566e-12,-9.448463929653816e-12,1.0369640285334824e-10,6.0278381397438355e-09,-2.0740029138544003e-09,1.0751912624118453e-10,-0.555378532409668,0.2745138227939606,-0.46878900229930875,254.9887466430664,-223.91420288085936,117.17744140625,-0.36718191504478453,-0.45516942739486693,-0.4717317074537277,260.1499725341797,-229.0874450683594,-32.17854194641113,0.0,0.0,0.0,0.0,0.0,0.0
295,2.95,-1732.3147,883.16583,-1749.73,437.605,-1856.8792,-8.6070795,9.522986837718985e-21,5.073929966855204e-22,-4.4389674989203627e-20,-4.193909516810726e-18,3.4440516799676237e-18,-8.526091061803698e-19,-6.016130952787857e-12,-1.6767796959943348e-11,1.3425865003080518e-10,6.791342244127918e-09,-2.9115735156182155e-09,-1.1102948005436986e-10,-0.5614896953105927,0.28017184138298035,-0.48573697805404664,253.58077392578124,-221.89205017089844,116.39583740234374,-0.34675978124141693,-0.431822207570076,-0.44586066603660585,246.79022064208985,-217.22286682128907,-30.919160461425783,0.0,0.0,0.0,0.0,0.0,0.0
296,2.96,-1724.785,882.6521,-1746.95,437.202,-1857.9324,-8.571502,1.2618385466405422e-20,-1.2687329531579425e-21,-3.899957418605659e-20,-3.87759449251759e-18,2.2415963151186943e-18,-1.3043330694207954e-18,-4.3655038351603226e-12,-2.5829788828646283e-11,1.5231124694814469e-10,6.183690492989058e-09,-3.642795731728654e-09,-5.016164705828885e-10,-0.5658895194530487,0.2895916312932968,-0.5235202193260193,250.37608337402344,-220.282177734375,115.4970199584961,-0.29093246161937714,-0.36392861008644106,-0.3744185000658035,207.98402099609376,-182.9675094604492,-26.37507095336914,0.0,0.0,0.0,0.0,0.0,0.0
297,2.97,-1717.8462,882.0354,-1744.17,437.264,-1857.159,-8.568487,1.4748478456629898e-20,-4.330152293235796e-21,-1.6511768995834917e-20,-2.0685431568060614e-18,-7.859390506196468e-19,-1.7806109792461835e-18,1.8725549268735347e-13,-3.548793828245245e-11,1.404894936496426e-10,3.0981370191529577e-09,-3.942107440479959e-09,-1.106290919983266e-09,-0.5672132134437561,0.3002027332782745,-0.5819186329841614,245.02491912841796,-218.8711196899414,114.4947280883789,-0.21693792939186096,-0.27257785350084307,-0.2794577583670616,155.78030700683593,-136.9637451171875,-19.988954544067383,0.0,0.0,0.0,0.0,0.0,0.0
298,2.98,-1709.0204,881.44977,-1741.82,437.026,-1857.4021,-8.418973,1.4346313905681698e-20,-8.946861034072057e-21,3.2282098834988347e-20,2.0847060863220582e-18,-6.428357244017918e-18,-2.1579265929084067e-18,8.97856467993452e-12,-4.3330234192340275e-11,7.424331618238744e-11,-3.853289403873972e-09,-3.3097513174595862e-09,-1.940845784087486e-09,-0.5639110267162323,0.3086034327745438,-0.660247164964676,237.28412017822265,-217.69318542480468,113.53595352172852,-0.14252441003918648,-0.17993541359901427,-0.18378252387046815,102.84074478149414,-90.36216812133789,-13.357346248626708,0.0,0.0,0.0,0.0,0.0,0.0
299,2.99,-1700.2163,880.41534,-1737.36,435.95,-1858.104,-8.110456,9.14618191567343e-21,-1.5164629872410415e-20,1.1717798229043282e-19,9.515118349996734e-18,-1.5415412341793354e-17,-2.226685629775117e-18,2.3300541183990386e-11,-4.522782599825082e-11,-7.73821247530837e-11,-1.6177686301688254e-08,-1.0613140130621978e-09,-2.965176881808418e-09,-0.5550620496273041,0.31194701194763186,-0.757663780450821,227.2983154296875,-217.1811553955078,112.82851028442383,-0.07963325493037701,-0.10115368589758873,-0.1027952067553997,57.81978492736816,-50.76435432434082,-7.607786226272583,0.0,0.0,0.0,0.0,0.0,0.0
300,3.0,-1690.9657,879.4162,-1733.36,435.299,-1858.241,-7.6897984,-3.777962564083319e-21,-2.2579317020988857e-20,2.4609688218491235e-19,2.1026733640367685e-17,-2.813539197205876e-17,-1.674541392163598e-18,4.3961244020063185e-11,-3.498654768674392e-11,-3.4825665268245487e-10,-3.5149528265776554e-08,3.6357363453198842e-09,-4.0428876912912415e-09,-0.5412134051322937,0.3090409994125366,-0.8704905331134796,215.93135833740234,-218.09668579101563,112.46115951538086,-0.03316761609166861,-0.04263624399900436,-0.0428664768114686,24.37290735244751,-21.365224266052245,-3.2395676493644716,0.0,0.0,0.0,0.0,0.0,0.0
302,3.02,-1672.0967,877.29047,-1726.39,434.178,-1859.0527,-6.896383,-6.575570206695175e-20,-3.528058210736297e-20,6.309619820123904e-19,5.645429991871283e-17,-6.179338185018942e-17,3.0290351385391883e-18,1.005773735129889e-10,5.665330652521172e-11,-1.3459429570872317e-09,-9.298071148577947e-08,2.362681730261329e-08,-5.0368444526327495e-09,-0.508376806974411,0.28828181624412536,-1.0862473607063294,196.08013153076172,-227.5223159790039,112.22551345825195,0.014754453487694264,0.018119637109339237,0.019083423539996147,-10.393332386016846,9.196333169937134,1.5869959115982055,0.0,0.0,0.0,0.0,0.0,0.0
304,3.04,-1652.7144,874.60974,-1719.57,433.127,-1858.84,-6.000917,-1.8690279840497317e-19,-2.2638764326726283e-20,1.0006845481103502e-18,9.328365113084342e-17,-8.276323325768204e-17,1.5593184870523453e-17,1.4163357431318246e-10,3.054985930894816e-10,-2.802182930139452e-09,-1.516808595170005e-07,5.85496213290071e-08,-1.3672715425128157e-10,-0.4985517054796219,0.2571833997964859,-1.0391987144947052,199.89156646728514,-249.6248565673828,111.9717025756836,0.02604932114481926,0.03230167478322983,0.03361849561333656,-18.610853385925292,16.52422676086426,3.1472368001937867,0.0,0.0,0.0,0.0,0.0,0.0
305,3.05,-1642.9672,873.2824,-1715.76,432.945,-1857.5177,-5.718565,-2.6053361371701206e-19,7.595338290114421e-21,9.951454055166926e-19,9.615550310361932e-17,-6.853272240178517e-17,2.525774328298621e-17,1.2469148075178182e-10,4.987017465651888e-10,-3.389987623947377e-09,-1.5465201528286343e-07,7.727522159939326e-08,6.959930454186747e-09,-0.523396509885788,0.23580517321825029,-0.7367354512214661,224.1751266479492,-265.86871948242185,112.80393600463867,0.0254291120916605,0.031092216446995734,0.03260229043662548,-18.000447082519532,16.098529434204103,3.2756080865859984,0.0,0.0,0.0,0.0,0.0,0.0
