frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
273,2.73,-2260.3665,919.2847,-2153.15,462.312,-2244.977,15.402761
274,2.74,-2243.8872,922.56464,-2149.86,462.18,-2245.4104,15.845908
275,2.75,-2227.3816,925.43536,-2146.98,462.252,-2245.4092,16.353647
276,2.76,-2211.098,927.833,-2144.14,462.397,-2245.5913,17.050426
277,2.77,-2195.2576,929.8257,-2141.37,462.609,-2245.915,17.775795
279,2.79,-2165.2,932.14636,-2134.1,462.965,-2245.7202,19.142427
280,2.8,-2150.463,932.8092,-2130.14,463.251,-2245.9146,19.986612
282,2.82,-2119.328,933.2567,-2122.78,463.478,-2246.4226,21.49563
283,2.83,-2103.7876,933.30994,-2118.96,463.634,-2246.6492,22.254759
284,2.84,-2088.1213,933.07,-2115.31,463.653,-2246.7998,23.232422
285,2.85,-2072.152,932.5332,-2111.59,463.635,-2246.4556,24.206799
286,2.86,-2056.11,931.5942,-2107.74,463.589,-2245.9895,25.318264
287,2.87,-2040.0157,930.45966,-2103.19,463.516,-2245.8628,26.56206
288,2.88,-2024.0248,928.7178,-2098.44,463.335,-2245.6296,28.013212
289,2.89,-2008.6982,926.8499,-2092.93,463.049,-2245.2825,29.639893
290,2.9,-1992.077,924.6523,-2087.14,462.77,-2244.7178,31.399864
291,2.91,-1975.793,922.02704,-2080.9,462.351,-2244.2644,33.359005
292,2.92,-1958.91,919.05347,-2074.35,462.082,-2243.7922,35.592945
293,2.93,-1942.1464,915.78564,-2067.31,461.906,-2243.223,38.223106
294,2.94,-1925.3508,912.64404,-2059.4,461.911,-2242.131,41.165627
295,2.95,-1908.1552,909.44025,-2050.44,461.834,-2241.2263,44.516697
296,2.96,-1890.628,906.2278,-2040.35,461.595,-2240.1091,48.17462
297,2.97,-1873.5613,903.2187,-2028.97,461.019,-2238.6677,52.349373
298,2.98,-1855.8541,900.20483,-2016.2198,460.16,-2237.3074,57.131546
299,2.99,-1837.8057,897.4607,-2002.0101,459.213,-2235.3123,62.504097
300,3.0,-1819.1807,894.75714,-1986.55,458.124,-2232.4111,68.757645
301,3.01,-1800.2504,892.48083,-1969.28,456.835,-2228.9563,75.68462
302,3.02,-1780.4528,890.3498,-1950.59,455.273,-2224.4316,83.51284
303,3.03,-1759.7982,888.60925,-1929.6,453.199,-2218.4016,92.36331
304,3.04,-1739.1115,886.6416,-1907.1,450.302,-2210.692,102.15473
305,3.05,-1718.1981,884.5515,-1882.0,446.615,-2200.71,113.21612
306,3.06,-1698.1136,882.8595,-1853.25,441.887,-2188.5017,125.82743
307,3.07,-1676.9103,880.8804,-1822.59,436.565,-2173.538,139.94992
308,3.08,-1655.9246,878.7571,-1789.84,430.363,-2155.7642,155.53194
309,3.09,-1636.281,876.42773,-1755.38,423.638,-2135.0056,171.88182
310,3.1,-1617.4285,874.68646,-1720.24,418.03,-2111.117,188.53293
311,3.11,-1598.6887,873.6781,-1685.03,414.437,-2083.1418,202.60416
312,3.12,-1579.5795,873.3803,-1649.82,412.533,-2053.2815,213.14873
313,3.13,-1561.1011,873.8838,-1614.62,412.076,-2022.6428,221.4176
314,3.14,-1542.9094,875.416,-1578.96,412.875,-1990.3309,228.57277
315,3.15,-1524.7777,877.9563,-1543.73,415.352,-1956.2942,232.2339
316,3.16,-1506.7493,881.2407,-1508.57,419.218,-1920.9233,232.15617
317,3.17,-1488.8582,885.394,-1473.76,423.997,-1884.3978,230.04727
318,3.18,-1471.1895,890.04865,-1439.52,429.328,-1846.9323,226.03188
319,3.19,-1453.8262,894.8881,-1406.09,435.403,-1808.0012,220.26253
320,3.2,-1436.3682,899.89343,-1373.33,441.892,-1767.7521,212.06633
321,3.21,-1419.0116,904.7169,-1341.68,448.647,-1726.1007,201.77792
322,3.22,-1401.4902,909.47626,-1310.66,455.566,-1683.4481,190.09647
323,3.23,-1383.9774,913.549,-1280.86,462.13,-1639.5602,177.19151
324,3.24,-1366.8872,917.44617,-1251.54,468.634,-1594.8298,164.0543
325,3.25,-1350.0107,920.9385,-1222.78,474.889,-1548.9414,150.60503
326,3.26,-1332.972,923.523,-1195.22,480.636,-1501.6149,136.48796
327,3.27,-1315.4386,926.1917,-1168.11,486.393,-1452.8088,122.14134
328,3.28,-1298.1506,928.0373,-1142.36,491.388,-1402.6091,108.05325
329,3.29,-1280.9099,929.3539,-1117.58,495.396,-1351.5029,94.63294
330,3.3,-1263.5056,930.0822,-1093.51,498.563,-1299.3547,82.21876
331,3.31,-1246.388,930.313,-1070.21,501.04404,-1246.7559,71.29664
332,3.32,-1228.0737,930.22845,-1047.68,502.589,-1194.1595,61.976852
333,3.33,-1210.3904,929.2686,-1025.25,503.32498,-1141.945,54.43168
334,3.34,-1192.5055,927.4488,-1002.92004,503.40497,-1090.3346,48.638577
335,3.35,-1173.9882,925.2933,-981.119,502.87802,-1039.6036,44.856365
336,3.36,-1156.0001,922.32153,-959.259,501.817,-989.6292,42.320633
337,3.37,-1138.5781,918.49426,-937.599,500.188,-941.24896,41.15894
338,3.38,-1120.8889,914.09717,-915.341,498.289,-896.03937,40.499462
339,3.39,-1103.3955,909.4748,-893.495,496.236,-852.83276,40.143753
340,3.4,-1086.4514,904.33246,-871.23,494.382,-812.58484,40.249462
341,3.41,-1069.327,899.8271,-849.416,492.841,-776.03906,40.518795
342,3.42,-1051.9535,895.8239,-828.97,491.272,-740.88916,41.36226
343,3.43,-1033.8458,892.4657,-808.787,489.628,-709.1881,41.96128
344,3.44,-1014.6233,889.5509,-788.772,487.755,-681.6569,42.01035
345,3.45,-995.31616,887.03125,-768.71,485.802,-658.2157,41.048782
346,3.46,-975.3856,885.0498,-749.101,483.606,-638.2229,39.2431
347,3.47,-955.10345,883.39606,-729.81,481.24,-622.33185,36.41938
348,3.48,-934.7528,881.73364,-711.013,478.576,-610.0985,32.38974
349,3.49,-914.11755,880.4027,-692.241,475.803,-602.10834,28.491049
350,3.5,-894.1441,879.15533,-673.887,472.744,-597.40173,25.799473
351,3.51,-873.6117,880.10297,-657.886,470.737,-594.3095,25.7029
352,3.52,-853.8913,882.12805,-640.761,472.662,-585.706,27.489744
353,3.53,-834.2335,885.4247,-620.521,476.826,-581.51373,29.377369
354,3.54,-816.33746,888.6723,-598.349,480.67,-577.7608,29.95036
355,3.55,-800.5048,890.4761,-576.458,483.373,-578.1493,29.966799
356,3.56,-783.83734,892.9407,-556.942,485.564,-577.8314,30.868116
357,3.57,-766.43335,896.08325,-541.407,486.787,-577.72943,31.689999
358,3.58,-748.4259,899.5362,-530.567,486.36,-577.16394,32.37363
359,3.59,-730.2689,903.0337,-522.885,484.976,-576.03705,32.966167
360,3.6,-712.32806,906.7267,-516.331,483.632,-575.1652,33.444206
361,3.61,-695.22394,910.6676,-510.47098,482.597,-574.99274,33.637005
362,3.62,-678.83203,914.45013,-503.59796,482.15,-576.09076,33.950382
363,3.63,-662.93115,918.29645,-497.219,482.222,-576.3868,34.352512
364,3.64,-647.5946,922.0908,-490.767,482.447,-576.5843,34.689415
365,3.65,-631.5296,926.10864,-485.225,482.482,-576.57794,34.91912
366,3.66,-615.77704,929.704,-480.01,482.201,-576.928,35.255352
367,3.67,-599.32965,933.8361,-476.275,481.881,-577.69476,35.606476
368,3.68,-582.9595,937.66925,-473.666,481.7,-578.1417,36.160633
369,3.69,-566.51086,941.39026,-472.124,481.745,-578.8257,36.950188
370,3.7,-550.1168,944.62036,-470.6,482.123,-578.7163,37.581356
371,3.71,-534.0674,947.51666,-468.712,482.574,-578.9997,38.393772
372,3.72,-517.7003,949.92584,-466.2,483.006,-578.8135,39.086468
373,3.73,-501.852,951.5297,-463.252,483.255,-578.7548,39.91937
374,3.74,-486.689,952.8351,-460.099,483.756,-578.4055,40.65251
375,3.75,-471.5159,953.903,-456.933,484.336,-578.7058,41.48842
376,3.76,-455.68103,954.3029,-453.876,484.691,-578.7832,42.488464
377,3.77,-440.50308,954.5272,-450.58,485.01,-578.3323,43.40503
378,3.78,-425.19202,954.5632,-447.491,485.362,-578.19434,44.504887
379,3.79,-409.9848,954.3592,-443.876,485.518,-578.2215,45.507015
380,3.8,-394.63907,953.56995,-440.102,485.528,-578.48724,46.71352
381,3.81,-379.5318,952.702,-435.971,485.503,-577.9629,47.853115
382,3.82,-364.39407,951.21564,-430.709,485.188,-578.1349,49.22741
383,3.83,-349.19992,949.469,-425.084,484.793,-577.69934,50.67197
384,3.84,-334.04355,947.5238,-419.089,484.364,-577.74493,52.4253
385,3.85,-318.5083,945.21936,-412.999,484.016,-577.1563,54.23348
386,3.86,-302.62408,942.69806,-406.88,483.862,-576.8316,56.22193
387,3.87,-286.44803,939.8086,-400.666,483.759,-576.1102,58.5686
388,3.88,-270.5016,936.90515,-393.863,483.795,-575.4921,61.12209
389,3.89,-254.57404,934.0849,-386.144,483.724,-574.89435,63.91208
390,3.9,-238.4826,931.21826,-377.507,483.524,-573.7091,67.02417
391,3.91,-221.69269,928.0724,-367.665,482.923,-572.5977,70.407425
