frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
249,2.49,-2116.5945,834.2326,-1969.2,441.221,-1891.6935,26.331396
250,2.5,-2099.0889,836.2993,-1954.94,443.002,-1888.0457,26.588463
251,2.51,-2082.0437,839.3189,-1940.12,445.119,-1884.533,26.418488
252,2.52,-2065.134,843.0197,-1924.66,447.437,-1883.6263,25.887066
253,2.53,-2049.493,846.52106,-1910.73,449.745,-1885.9951,26.016096
254,2.54,-2034.9681,849.30743,-1898.2,451.256,-1884.9938,26.124435
255,2.55,-2020.8917,851.73486,-1886.09,452.018,-1883.3041,25.891586
256,2.56,-2005.98,854.1236,-1877.45,452.295,-1883.5234,26.090075
257,2.57,-1991.1428,856.44666,-1870.72,451.952,-1883.4856,26.141033
258,2.58,-1976.1428,858.7643,-1864.91,451.575,-1882.886,26.195036
259,2.59,-1961.8237,861.1808,-1860.67,451.448,-1882.5121,26.29551
260,2.6,-1947.6619,863.70026,-1856.76,451.616,-1882.5446,26.458775
261,2.61,-1934.185,866.07684,-1853.13,451.792,-1882.8984,26.589445
262,2.62,-1921.2308,868.2209,-1849.76,452.135,-1883.1997,26.845865
263,2.63,-1908.4177,870.07904,-1846.93,452.433,-1883.2539,27.154856
264,2.64,-1895.77,871.8114,-1843.99,452.553,-1883.256,27.475777
265,2.65,-1884.0558,873.20135,-1841.34,452.65,-1883.5403,27.773333
266,2.66,-1871.854,874.5147,-1839.15,452.817,-1883.4153,28.094114
267,2.67,-1859.9287,875.4974,-1837.11,453.096,-1883.3477,28.444424
268,2.68,-1848.6558,876.1859,-1835.16,453.617,-1883.4708,28.877563
269,2.69,-1835.9656,876.7692,-1832.79,453.932,-1883.6398,29.30753
270,2.7,-1823.7429,876.9473,-1830.58,454.151,-1883.6604,29.876677
271,2.71,-1811.5151,876.87305,-1828.06,454.289,-1883.818,30.388977
272,2.72,-1800.0192,876.9038,-1824.71,454.812,-1883.618,30.873144
273,2.73,-1788.2144,876.4811,-1821.37,454.772,-1883.6996,31.458292
