frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
251,2.51,-2237.0647,851.2894,-2132.03,462.74,-2185.1235,27.396442,-3.9549052947881495e-19,2.7194431048076993e-19,-4.2315031695912474e-19,-2.4940076811008287e-17,7.935942164493832e-17,2.3430766421242896e-17,-7.67641323770607e-12,-1.8669684635069793e-11,1.2394085965872215e-10,6.283076947610766e-09,-3.4102779711275843e-09,-1.6211532741228217e-10,0.8100471317768096,0.7151719093322754,-0.8617839276790619,78.12827606201172,40.5443115234375,183.7138641357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,2.53,-2209.2754,852.6788,-2124.49,461.996,-2187.0134,27.76738,7.813528524033927e-19,9.966257951493422e-19,-9.083062518674924e-18,-8.938776755917698e-16,-5.562320151408095e-16,-1.4217012459440086e-16,-1.1809602167706102e-11,-4.7688332102668875e-11,2.5936303382767533e-10,1.06481924611046e-08,-7.386963840616545e-09,-9.681539625550073e-10,0.5954036474227905,0.7045108318328858,-0.8276923298835754,73.2403076171875,51.64285125732422,181.29852294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,2.58,-2134.488,883.4031,-2106.37,461.426,-2186.6768,28.437931,1.138858867650691e-17,1.696619308001733e-18,-4.942571449011423e-17,-5.1400653227679685e-15,-4.7663378692969e-15,-1.2702533616905615e-15,5.3496181789958185e-11,1.2300313480435866e-11,-4.370798445396673e-10,-3.768576011253799e-08,1.0470490829916912e-08,-3.33465279833689e-09,0.35901212096214297,0.5398293972015381,-0.7035315096378326,43.234893798828125,51.15994987487793,148.8194610595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,2.59,-2121.209,883.602,-2101.66,461.216,-2186.503,28.813631,1.2654243338831638e-17,-2.3270850352840844e-19,-4.122311790469178e-17,-4.4090715270678295e-15,-4.744515590070198e-15,-1.2790390309414553e-15,9.668710138077686e-11,1.3043924898537006e-10,-1.1818513778738548e-09,-7.371524652910466e-08,3.113609938765194e-08,-1.926271686603087e-09,0.33677964210510253,0.4817159026861191,-0.6836000084877014,41.22844123840332,49.86719245910645,139.5068130493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,2.63,-2069.0393,881.869,-2084.69,460.001,-2185.7817,30.229902,-3.2603990055042935e-17,-2.92738303920759e-17,2.9939150585383045e-16,2.9728455618440246e-14,2.0003779194747346e-14,5.162772984358612e-15,2.7624643683665797e-10,1.3110282082173797e-09,-6.7750290710932856e-09,-2.592036025816924e-07,1.9485920574879855e-07,3.005611173279021e-08,0.22783224433660507,0.3114535391330719,-0.6444285273551941,42.52507705688477,44.087893676757815,118.1449806213379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,2.64,-2056.0322,880.7216,-2078.95,459.157,-2186.3853,30.720451,-6.9011286752561e-17,-4.1441746372800974e-17,5.010082224838857e-16,5.030711497334625e-14,3.6997169583041603e-14,9.645102506386157e-15,2.2383296188754897e-10,1.6435521499325033e-09,-7.594716588954497e-09,-2.401237239268994e-07,2.234885542407028e-07,4.638132544698692e-08,0.20033318400382996,0.30230111479759214,-0.666605931520462,44.88402976989746,44.93933334350586,118.12793273925782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,2.65,-2043.2654,879.1651,-2073.76,458.247,-2186.7927,31.140976,-1.1851990326889875e-16,-5.2328465629235934e-17,7.385775093170118e-16,7.481098599220089e-14,5.863180322924609e-14,1.53866355488458e-14,5.302197183913726e-11,1.7836720878072754e-09,-6.848837807993391e-09,-1.290843087531357e-07,2.1030274837130493e-07,6.382706487784163e-08,0.18254372626543044,0.3046203166246414,-0.7308453261852265,44.9156608581543,51.80634078979492,118.4737564086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,2.67,-2016.8834,875.6709,-2063.72,456.774,-2186.9617,32.49623,-2.394327884338432e-16,-4.950518504028465e-17,1.1285914105423989e-15,1.1657146602173096e-13,1.0381007238178217e-13,2.7570527715774056e-14,-8.813823337838755e-10,5.042422229761811e-10,4.641043152564528e-09,5.84290691563183e-07,-9.272899545997859e-08,8.172907826065056e-08,0.199399870634079,0.32771654725074767,-1.0515677630901337,31.200891304016114,89.51037368774413,116.58611755371093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,2.68,-2004.27,873.83936,-2058.13,456.108,-2186.5872,33.344303,-2.8461867685949806e-16,-1.896786790219243e-17,1.0836925127611416e-15,1.140497655897129e-13,1.1301592935152386e-13,3.028087797055188e-14,-1.7490590198399047e-09,-1.59942930288981e-09,1.8626396247611866e-08,1.2941351428708003e-06,-4.77453997405064e-07,6.365472167146891e-08,0.23909245431423187,0.3403328597545624,-1.3050667881965636,16.91116075515747,119.42470855712891,114.13163681030274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,2.69,-1991.9225,872.1755,-2052.29,455.985,-2185.7766,34.43332,-2.8478578587207953e-16,4.6227898017609454e-17,6.626625334674139e-16,7.402273272691471e-14,9.6101581960285e-14,2.622277361344263e-14,-2.896835282761856e-09,-5.19563354561825e-09,4.0072391094270186e-08,2.275250585626054e-06,-1.0781765922729391e-06,8.919699390208536e-09,0.2926090478897095,0.34906512796878814,-1.5844502925872803,-0.28222435116767886,151.13214416503905,111.01574172973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,2.7,-1978.9115,870.26794,-2046.2001,455.446,-2185.591,35.639484,-1.9740053734320309e-16,1.5870825561585038e-16,-3.597641558777714e-16,-2.6573867859519118e-14,3.3628047940409834e-14,1.0258979692859494e-14,-4.235528505702746e-09,-1.0585222209869016e-08,6.941421482054011e-08,3.481452313280897e-06,-1.9137090021104084e-06,-1.0021329792664346e-07,0.34565910398960115,0.3480845123529434,-1.8155580759048462,-15.206233406066895,174.07472076416016,106.80254440307617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,2.71,-1965.5337,868.26874,-2038.5402,453.668,-2187.2175,36.898903,3.324259656627296e-17,3.2845104898708796e-16,-2.2362038690362057e-15,-2.1391431310221857e-13,-9.815576458994512e-14,-2.3928707695581708e-14,-5.5329993031705275e-09,-1.7800608276274942e-08,1.0506591010539524e-07,4.753651001010439e-06,-2.9482981972250854e-06,-2.814656284044759e-07,0.3757825821638107,0.3265676826238632,-1.8781238198280334,-19.85354862213135,170.03047943115234,100.98891677856446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,2.72,-1952.233,866.3049,-2032.63,454.42,-2185.7874,39.015984,4.712944152203012e-16,5.572136945629417e-16,-5.194630804065264e-15,-5.121563709156035e-13,-3.240670861000272e-13,-8.300797725503858e-14,-6.35074508537059e-09,-2.6342472558837925e-08,1.4200158631183514e-07,5.762304817835684e-06,-4.051145083394658e-06,-5.4706966352569e-07,0.34890285730361936,0.27150386571884155,-1.6021359801292419,-3.4901569463312625,111.64870910644531,92.90673599243163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
