frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
310,3.1,-1586.981,910.9268,-1658.12,460.678,-2022.7924,181.93733
311,3.11,-1571.0471,911.37537,-1626.69,459.109,-1997.4653,189.6677
312,3.12,-1554.6467,912.2894,-1594.85,457.977,-1971.3458,198.79155
313,3.13,-1538.1873,913.6068,-1563.25,457.932,-1942.6162,206.98041
314,3.14,-1521.8755,915.5428,-1532.36,459.335,-1913.5955,214.03447
315,3.15,-1506.01,918.1162,-1500.93,460.634,-1885.5569,220.99165
316,3.16,-1490.1311,921.3578,-1470.26,464.377,-1855.1919,225.58554
317,3.17,-1474.275,924.8448,-1440.14,467.606,-1827.0663,230.74483
318,3.18,-1458.2117,928.4958,-1410.74,472.951,-1795.654,232.2448
319,3.19,-1442.4532,932.2948,-1381.89,479.203,-1762.5673,231.30913
320,3.2,-1426.9574,935.8561,-1353.06,485.338,-1728.664,228.78862
321,3.21,-1411.9734,939.20984,-1324.95,491.827,-1693.9081,224.45016
322,3.22,-1397.5846,942.5878,-1295.9,498.642,-1658.327,218.72263
323,3.23,-1382.6611,945.67334,-1268.38,505.098,-1622.1859,211.92667
324,3.24,-1368.417,948.1675,-1241.44,511.20596,-1585.739,204.5339
325,3.25,-1354.897,950.34393,-1214.88,517.521,-1548.0405,195.93729
326,3.26,-1341.0323,952.1508,-1189.07,523.166,-1510.3162,186.74889
327,3.27,-1326.7695,953.62067,-1164.87,528.98,-1470.0038,176.23679
328,3.28,-1313.3881,954.58215,-1141.43,534.335,-1429.36,165.46123
329,3.29,-1298.2969,955.2676,-1118.09,538.588,-1388.6361,154.64879
330,3.3,-1283.668,955.95764,-1096.01,542.481,-1346.9773,144.1181
331,3.31,-1268.8517,956.2036,-1075.02,545.389,-1304.4545,133.227
332,3.32,-1254.1937,956.044,-1055.08,547.466,-1261.858,122.3155
333,3.33,-1239.3994,955.39044,-1036.67,549.115,-1217.1561,111.29213
334,3.34,-1224.8981,954.18677,-1019.94,549.736,-1171.1545,100.95488
335,3.35,-1210.5153,952.60754,-1003.81006,549.503,-1124.8724,91.32578
336,3.36,-1196.0724,950.239,-988.527,547.826,-1078.4144,82.81306
337,3.37,-1181.5558,947.8881,-973.899,545.145,-1032.7123,75.49386
338,3.38,-1166.892,945.0426,-960.303,541.55,-986.5326,69.93647
339,3.39,-1152.1368,941.7794,-947.846,537.16,-939.8848,66.31032
340,3.4,-1136.9167,938.50336,-936.626,531.942,-895.5241,64.264755
341,3.41,-1121.9479,934.6403,-925.793,526.209,-851.5245,63.909554
342,3.42,-1106.7429,930.4841,-915.782,519.942,-809.6665,65.40167
343,3.43,-1092.1244,925.8567,-904.906,513.85,-770.5035,67.74384
344,3.44,-1077.1217,921.27875,-893.503,508.05496,-734.0455,70.89776
345,3.45,-1060.8806,917.14874,-880.741,502.851,-702.84863,72.95268
346,3.46,-1044.8506,913.5616,-863.51,499.551,-676.8737,73.55915
347,3.47,-1028.4207,910.5781,-841.341,498.589,-656.70905,71.66887
348,3.48,-1013.1055,907.9839,-815.561,500.557,-642.83417,68.466736
349,3.49,-997.50745,905.6089,-789.211,503.40598,-633.25085,64.11066
350,3.5,-981.8567,903.5154,-763.609,506.261,-625.83093,58.88506
