frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
302,3.02,-1753.8109,883.9016,-1770.44,437.341,-1879.1648,-9.479256
303,3.03,-1744.8898,883.29535,-1768.62,437.065,-1879.8167,-9.231235
304,3.04,-1737.0387,882.7678,-1766.01,437.309,-1879.707,-9.332783
305,3.05,-1727.5747,881.6279,-1764.69,436.758,-1879.8368,-9.116319
306,3.06,-1721.9757,881.7201,-1762.03,437.473,-1880.2449,-8.715877
307,3.07,-1712.619,880.678,-1759.37,436.676,-1881.21,-8.049951
308,3.08,-1703.6532,879.2488,-1756.92,435.818,-1881.6769,-7.4764786
309,3.09,-1693.911,878.0727,-1753.98,435.264,-1882.0127,-6.9655323
310,3.1,-1684.5409,876.8109,-1750.62,435.101,-1881.2894,-6.636617
315,3.15,-1635.359,868.92084,-1727.81,431.685,-1882.8381,-3.3019547
316,3.16,-1624.8717,866.7202,-1721.83,430.502,-1883.4773,-2.2885535
318,3.18,-1603.5836,862.0838,-1707.69,428.057,-1883.777,0.29484758
320,3.2,-1581.6587,857.43286,-1691.74,425.794,-1883.4819,3.3091445
322,3.22,-1558.5422,852.95264,-1674.61,423.159,-1883.8807,7.9234076
323,3.23,-1547.0541,850.9018,-1665.54,421.998,-1883.6979,10.748983
324,3.24,-1534.4338,848.2884,-1656.11,420.005,-1884.099,14.222882
325,3.25,-1522.8716,847.2762,-1646.34,419.771,-1883.5878,18.135303
326,3.26,-1509.5458,845.4695,-1635.5,418.569,-1882.6871,22.265228
327,3.27,-1496.4015,843.9514,-1623.57,416.231,-1883.0118,27.616432
328,3.28,-1483.5269,842.6242,-1611.84,415.695,-1880.9474,32.945602
329,3.29,-1469.6915,841.46124,-1599.17,414.498,-1878.9991,39.423397
330,3.3,-1456.0327,840.9772,-1584.45,412.068,-1877.4286,47.052788
331,3.31,-1442.0123,840.98004,-1569.65,412.003,-1873.3967,54.78245
332,3.32,-1427.9034,841.32874,-1552.19,410.292,-1869.726,64.27123
333,3.33,-1413.4102,841.9479,-1533.46,409.422,-1863.4993,74.53645
334,3.34,-1399.3936,842.91376,-1513.28,406.906,-1857.1077,86.49365
335,3.35,-1385.21,844.13336,-1491.38,405.322,-1847.7701,98.70577
336,3.36,-1371.8528,844.9859,-1468.45,402.466,-1837.9895,111.65082
