frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
308,3.08,-2251.0815,801.6978,-2114.23,408.436,-2157.1162,40.177685,-5.17874031509703e-17,-5.090391933197099e-17,4.3182760590423467e-16,8.561162575301124e-15,-2.0784743148599337e-14,-1.1767842818126744e-15,2.192538040013403e-10,2.498046075549709e-10,-1.8030186677009397e-09,-1.2364251134044935e-07,7.49561510637875e-09,-1.1800940935557947e-08,-0.5216565817594528,0.7989220798015595,-0.26397581547498705,110.65342864990234,149.56712493896484,249.48541259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,3.1,-2220.0835,810.6894,-2105.08,409.31,-2160.7676,40.448166,-1.1380537148578502e-16,-6.037209332104897e-17,6.829008954934638e-16,1.5075966394869322e-14,-2.6406118638260325e-14,2.8876078410772963e-16,4.1133574879559374e-10,7.768113541306576e-10,-4.043514278961879e-09,-2.278569212421644e-07,2.975631492319053e-08,-1.5618783422155503e-08,-0.8605464696884155,0.8539155304431916,-0.3133415520191193,119.63476867675782,162.15469818115236,244.65372467041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,3.14,-2155.1099,824.8004,-2098.33,408.536,-2162.5415,40.11079,-3.6748134111455786e-17,2.513235044453371e-16,-1.1788235453969245e-15,-1.4789657442587752e-14,9.281949530813225e-14,1.5213088323535585e-14,-2.378913979000918e-10,1.4492162137003105e-09,-1.7332146211301857e-09,1.5706949874072507e-07,7.947653983819691e-08,4.920441440958712e-08,-1.1203518629074096,0.8208445310592651,-0.29846703410148623,133.71990509033202,169.33981323242188,215.8246856689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,3.27,-1949.7958,810.63104,-2050.7,404.057,-2152.4622,45.813484,-2.908538329209368e-14,-2.7817999572149303e-14,2.3854273184563746e-13,4.752231550983477e-12,-1.138474757175767e-11,-6.178619790277174e-13,1.2208395929746985e-07,1.4371044017025269e-07,-1.0138476966403687e-06,-6.878460808366072e-05,4.408725249049894e-06,-6.473289658970316e-06,-2.1397332668304445,0.051687159214634446,3.1219538688659667,255.15538787841797,-612.3821411132812,71.88673477172851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,3.28,-1934.2434,807.73303,-2043.1699,403.444,-2150.3152,46.77964,-4.514507664183862e-14,-3.2581702703112124e-14,3.1550446933856225e-13,6.607067193700744e-12,-1.3705580160366937e-11,-3.674297655411121e-13,1.7498868913889966e-07,2.6994977986305457e-07,-1.5903792700555641e-06,-9.774011778063141e-05,9.576739012118196e-06,-7.925026920929668e-06,-2.761132907867432,-0.10978449136018753,5.738946390151978,384.8479461669922,-1160.9145751953124,66.93286209106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,3.3,-1903.0709,800.7567,-2026.34,400.861,-2147.7864,49.45493,-7.686549015556778e-14,-2.0502443330312065e-14,3.5648431635001283e-13,8.710895199603997e-12,-1.0248174921526076e-11,1.3269128959665644e-12,2.5006921475778656e-07,6.143790528767567e-07,-2.7630438353298816e-06,-0.00013663100980920717,2.5328132323920727e-05,-6.488090912171174e-06,-4.541569089889526,-0.3781068384647369,12.405100440979004,737.6577209472656,-2493.2327392578127,91.72131729125977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,3.31,-1887.4207,797.3099,-2017.4698,399.917,-2145.4346,51.372036,-8.12000281195848e-14,7.782164351985649e-15,2.2446444659582344e-13,7.065109304885131e-12,1.9131273713661468e-13,3.0454264761045622e-12,2.2387049654071233e-07,7.793013821810746e-07,-2.965334556392918e-06,-0.00011926222141482868,3.435182206885656e-05,-9.56655456008093e-07,-5.522400999069214,-0.34450910687446595,15.189187145233154,897.6443908691406,-2989.454443359375,142.3470245361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,3.32,-1872.629,794.7589,-2005.27,398.6,-2145.0925,53.701797,-6.461639728871146e-14,6.03608116045212e-14,-1.0126819833546596e-13,1.6903192251926587e-12,2.042312759881204e-11,5.447670786695724e-12,1.040003159147318e-07,8.598391218583857e-07,-2.4452359298265946e-06,-4.877224107531219e-05,4.131085916014854e-05,1.008916892715206e-05,-6.254343032836914,-0.03834351412951946,15.847476196289062,955.428662109375,-2990.3344482421876,238.28952026367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,3.39,-1734.5194,773.21234,-1902.85,389.137,-2124.611,94.12426,1.6435024565233935e-12,6.307032207695379e-13,-8.615962891062035e-12,-2.0021288099636436e-10,2.910957502821887e-10,-1.763362754425568e-11,-5.6101377595041415e-06,-1.228530363732716e-05,5.877449330000672e-05,0.003085180930793285,-0.0004919355385936796,0.0001772510600858368,50.144148635864255,19.966929054260255,-257.21836853027344,-13291.18134765625,54093.804296875,1652.940673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,3.4,-1713.2341,771.1907,-1881.88,387.805,-2116.9888,105.093575,1.8744317838333135e-12,1.742220883077343e-13,-7.01001865062445e-12,-1.8877784335735725e-10,1.2800851611344255e-10,-5.054453036668072e-11,-5.652250592902419e-06,-1.642361658014124e-05,6.789349790778943e-05,0.0030544388806447386,-0.0007016880437731743,9.296689077018528e-05,72.57336807250977,21.90178680419922,-339.3712860107422,-17810.0681640625,69696.676953125,927.995654296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
