frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
380,3.8,-1144.6047,845.35724,-945.239,464.744,-886.17175,30.700327
381,3.81,-1132.0488,843.10156,-935.443,460.768,-850.226,31.87883
382,3.82,-1118.8789,840.8785,-925.676,456.678,-816.8796,33.669353
383,3.83,-1105.5071,838.82544,-915.774,452.772,-785.36975,35.91647
384,3.84,-1091.9764,836.28564,-904.846,449.087,-758.4485,37.686264
385,3.85,-1078.6298,834.00977,-893.298,446.022,-734.9143,38.724598
386,3.86,-1065.6018,831.8755,-880.325,443.978,-715.5046,38.66644
387,3.87,-1052.723,830.02344,-865.048,443.405,-700.12305,37.406586
388,3.88,-1039.5553,828.7196,-848.042,443.874,-688.39606,35.345486
389,3.89,-1025.6278,827.9005,-830.195,444.986,-679.8002,32.551254
390,3.9,-1011.3503,827.3803,-812.188,446.277,-673.871,29.36108
391,3.91,-996.9224,826.7304,-795.097,447.042,-671.6927,25.1742
392,3.92,-981.73816,826.2812,-778.59,447.046,-670.6949,20.63135
393,3.93,-966.04834,826.1202,-763.648,446.279,-671.4359,16.372799
394,3.94,-950.4025,825.9602,-750.129,444.968,-671.70123,15.224208
395,3.95,-934.9556,826.4237,-739.25,444.274,-665.79456,17.208775
396,3.96,-919.1574,828.182,-723.846,444.64,-654.7067,18.113773
397,3.97,-903.58606,830.512,-709.925,445.271,-648.50494,18.034643
398,3.98,-889.09033,832.69806,-700.378,445.996,-646.4404,18.142822
399,3.99,-875.63074,834.7178,-689.2,447.282,-645.25836,18.550062
400,4.0,-863.02435,836.5437,-678.744,449.025,-646.0833,19.037155
401,4.01,-850.2528,838.72186,-666.929,450.84,-646.71906,19.63495
402,4.02,-837.2708,841.0347,-656.633,452.354,-645.6131,20.376429
403,4.03,-824.1946,843.6026,-647.448,453.525,-645.5108,20.96645
404,4.04,-810.6136,846.27734,-639.285,453.724,-645.8163,21.300909
405,4.05,-797.4406,848.9608,-632.555,453.853,-645.20197,21.914867
406,4.06,-785.04254,851.4769,-626.657,453.499,-645.6376,22.059465
407,4.07,-772.7915,854.1637,-621.466,453.329,-645.9626,22.408928
408,4.08,-761.0264,856.95483,-617.25,453.435,-646.4183,22.906218
409,4.09,-749.6104,859.53625,-613.524,453.336,-646.98676,23.283068
410,4.1,-738.2777,862.26935,-610.911,453.485,-648.17017,23.72579
411,4.11,-727.56854,864.661,-608.228,453.582,-648.7389,24.045408
412,4.12,-716.5549,867.1681,-605.94,453.874,-649.6929,24.34511
413,4.13,-706.19543,869.3022,-603.445,454.097,-649.9338,24.638973
414,4.14,-695.25433,871.38885,-600.605,454.136,-649.4742,24.721743
415,4.15,-684.98456,873.0466,-598.44,454.395,-649.4558,25.055626
