frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
164,1.64,-2893.9756,939.76245,-2612.45,513.176,-2729.4814,44.781487,2.4816239832042224e-34,2.9635793804932856e-35,-9.192563407500273e-34,4.946924653286873e-32,2.839481861763627e-32,9.865242299727982e-33,1.0046116327932624e-27,2.0617742728640624e-26,-1.6528027564320814e-25,-1.7234908466549446e-24,-1.2792919040215245e-23,-7.87862222106144e-25,0.2851794004440308,0.09016578570008278,0.42187681794166565,122.41759490966797,123.06548309326172,7.561378765106201,5.005587577819824,0.5641529619693756,153.90086517333984,27566.2,36853.656640625,1464.30556640625,0.0,0.0,0.0,0.0,0.0,0.0
165,1.65,-2830.1216,973.95087,-2619.56,526.311,-2677.1355,52.805744,2.9873425914210943e-34,1.00695962758588e-34,-1.9131187204816408e-34,2.322144513099594e-32,-6.94285137774686e-32,1.8419261646479188e-32,1.9619143853948565e-27,3.2803230755196533e-26,-1.6250459705766846e-25,1.0872666996149048e-24,-1.2973493482383133e-23,-1.6551349891857025e-24,0.2954796731472015,0.07855604067444802,0.453148752450943,120.17982635498046,127.25490341186523,8.020506191253663,5.006725263595581,0.5713521540164948,153.96399383544923,27574.35703125,36857.59921875,1429.88427734375,0.0,0.0,0.0,0.0,0.0,0.0
169,1.69,-2774.81,1062.5828,-2588.29,513.36,-2557.4648,38.56189,-4.453770577251574e-34,6.964257423748921e-34,1.2201830754764603e-32,-5.07611703665305e-31,-1.2454582605465062e-30,5.773511562697173e-32,6.873352462761662e-27,5.504217924871234e-26,7.169388541182984e-25,3.954703069676629e-23,5.0933374849801285e-23,-6.733644348421549e-24,0.3341549187898636,0.03236698005348444,0.5140944361686707,100.63179626464844,141.3185562133789,6.7179827213287355,5.023219299316406,0.6012024462223053,153.99524536132813,27627.934765625,36858.774609375,1350.3779052734376,0.0,0.0,0.0,0.0,0.0,0.0
170,1.7,-2727.334,984.6967,-2582.16,511.10196,-2533.113,38.748062,-1.1654908571625913e-33,8.174798403957005e-34,1.7783896076536996e-32,-7.668457062914106e-31,-1.6577862353092987e-30,4.994568497270616e-32,6.354676841283435e-27,2.0637658750936234e-26,1.3126405944985288e-24,5.46171646883887e-23,9.578235389005429e-23,-6.69789435548829e-24,0.332883819937706,0.03057882282882929,0.5015590906143188,98.8713134765625,137.50817260742187,4.728390383720398,4.991428375244141,0.611961281299591,153.96806945800782,27636.1462890625,36851.323046875,1350.3663940429688,0.0,0.0,0.0,0.0,0.0,0.0
173,1.73,-2721.8674,964.0892,-2563.11,504.273,-2469.6763,39.640984,-5.067141013218049e-33,-1.8035750304276886e-34,2.474924700390577e-32,-1.2474231322677475e-30,-1.2566415752578565e-30,-1.586870024697637e-31,-1.5596403789372595e-26,-3.68829598957175e-25,3.61296716869413e-24,5.584781294408245e-23,2.7706544116869864e-22,1.1470263846664174e-23,0.3053345412015915,0.03515156805515289,0.4079886734485626,101.81816864013672,121.87201766967773,-1.9652278900146485,4.853954648971557,0.6049212455749512,153.8255172729492,27579.4271484375,36806.57109375,1377.9705688476563,0.0,0.0,0.0,0.0,0.0,0.0
174,1.74,-2711.4805,962.674,-2554.11,502.788,-2455.8032,38.945503,-6.456370138657378e-33,-1.4904499429817274e-33,1.3788950019529444e-32,-8.850654552722523e-31,4.076522145569465e-31,-3.2906325241947154e-31,-3.446360130697441e-26,-6.247438468907876e-25,3.89666639933012e-24,9.853793425215966e-24,3.0598239351613594e-22,2.8317079164824446e-23,0.2937056392431259,0.03873339369893074,0.3895336538553238,103.56473388671876,118.5324607849121,-2.6566741704940795,4.809802913665772,0.5939060509204864,153.7706497192383,27552.5365234375,36789.49453125,1383.5439697265624,0.0,0.0,0.0,0.0,0.0,0.0
175,1.75,-2699.2915,962.18066,-2546.74,501.03598,-2445.4736,37.532246,-7.168077197390363e-33,-3.5777765198831606e-33,-1.1760859994565613e-32,9.181976437015736e-32,3.5169095067393025e-30,-5.588686082114417e-31,-6.052056678605874e-26,-9.297398124039905e-25,3.247960458708985e-24,-8.257741082688985e-23,2.6794856937617216e-22,5.234016375494512e-23,0.279498478770256,0.04165509380400181,0.3842434734106064,104.72655487060547,117.03020782470703,-2.2941758155822756,4.775802898406982,0.5775257050991058,153.7249786376953,27536.8666015625,36771.970703125,1383.0299682617188,0.0,0.0,0.0,0.0,0.0,0.0
176,1.76,-2688.8286,955.2671,-2502.74,512.777,-2438.4907,35.414074,-6.343720825244948e-33,-6.532908669688729e-33,-5.779862846836742e-32,1.962265716093187e-30,8.477065511508594e-30,-8.334066492075694e-31,-9.252676144860632e-26,-1.2361990754533331e-24,9.867752065019248e-25,-2.367988503661463e-22,1.114996741409285e-22,8.291265746340269e-23,0.26425735354423524,0.04403539188206196,0.39687979221343994,105.06532669067383,116.82780532836914,-0.9908287167549134,4.764371728897094,0.5662822961807251,153.68730926513672,27536.8384765625,36755.578125,1376.4371215820313,0.0,0.0,0.0,0.0,0.0,0.0
177,1.77,-2663.659,955.8007,-2525.3,499.327,-2433.9812,33.3401,-2.7876813219002276e-33,-1.0264613860557565e-32,-1.2947887661260097e-31,4.993412695976653e-30,1.5507068136815955e-29,-1.1103355610776766e-30,-1.2623872976803593e-25,-1.4511173758516837e-24,-3.712095814613893e-24,-4.636210134671084e-22,-2.269229571209997e-22,1.1679900563557736e-22,0.250452895462513,0.04525954388082028,0.42102358639240267,104.37926025390625,117.38977508544922,1.0295318696647882,4.772154903411865,0.5648070096969604,153.66082763671875,27548.8466796875,36743.898828125,1373.1709350585938,0.0,0.0,0.0,0.0,0.0,0.0
178,1.78,-2652.9531,954.49884,-2512.45,498.619,-2431.5225,30.961664,4.982590069327428e-33,-1.4356394056513186e-32,-2.289226770839377e-31,9.347005584744239e-30,2.4394989048400222e-29,-1.3066213287017116e-30,-1.528833178894938e-25,-1.4219199574200305e-24,-1.1701793851814772e-23,-7.616956103094644e-22,-8.148097942871927e-22,1.4668985157780943e-22,0.23985600769519805,0.04471818022429943,0.43863162994384763,101.85028610229492,118.34195098876953,3.399169588088989,4.7978442192077635,0.5714827597141265,153.6529098510742,27566.519140625,36739.972265625,1382.557177734375,0.0,0.0,0.0,0.0,0.0,0.0
