frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
328,3.28,-2162.0635,920.99786,-2123.28,494.067,-2230.6384,24.196072
329,3.29,-2151.779,921.2861,-2120.04,494.224,-2230.0498,24.745708
330,3.3,-2141.5493,921.68365,-2115.76,494.131,-2231.0122,25.292263
338,3.38,-2061.4893,917.0763,-2084.38,490.708,-2232.8606,28.73545
342,3.42,-2018.3363,912.0059,-2068.83,488.793,-2231.2844,31.227602
343,3.43,-2007.9581,910.5287,-2063.88,487.917,-2231.4153,32.048843
344,3.44,-1998.8938,909.18097,-2057.97,487.63,-2229.7817,32.85651
345,3.45,-1986.801,907.76276,-2052.9,486.465,-2230.4941,34.013245
346,3.46,-1977.8103,906.0907,-2044.1001,484.489,-2232.2305,35.451828
347,3.47,-1964.8164,904.47174,-2039.9,484.367,-2230.1453,36.701683
348,3.48,-1952.6548,902.1697,-2031.9299,482.159,-2230.4194,38.496414
351,3.51,-1917.5842,898.50616,-2008.42,481.026,-2227.5796,45.3354
352,3.52,-1907.7544,897.27026,-1997.2,480.179,-2226.9167,48.522125
353,3.53,-1894.4049,895.8359,-1988.52,479.603,-2226.1501,52.180283
354,3.54,-1881.2349,894.29865,-1979.01,479.104,-2224.5767,56.039345
355,3.55,-1868.2784,893.0068,-1969.21,478.945,-2222.5024,60.26303
356,3.56,-1854.749,891.8457,-1959.3,479.479,-2219.0552,64.62661
357,3.57,-1840.8337,890.7356,-1947.77,478.772,-2217.5183,69.88397
358,3.58,-1826.1388,889.5975,-1935.65,477.536,-2216.2883,75.74111
361,3.61,-1778.9011,887.237,-1898.51,477.172,-2205.6606,95.39416
362,3.62,-1764.5177,887.16,-1882.99,477.781,-2199.2466,102.501366
364,3.64,-1729.5986,885.65906,-1850.34,474.959,-2190.1372,120.97821
365,3.65,-1713.9225,885.6092,-1831.93,474.67,-2180.8708,130.13417
366,3.66,-1696.5818,885.9482,-1812.53,474.599,-2169.9521,139.75748
367,3.67,-1677.754,886.24524,-1792.79,473.103,-2158.6226,150.27585
368,3.68,-1661.8026,887.6148,-1768.6,472.837,-2142.4722,159.535
369,3.69,-1644.489,888.2489,-1744.12,469.244,-2127.9075,170.2181
371,3.71,-1611.0723,889.2742,-1694.23,463.961,-2093.4773,190.70006
372,3.72,-1594.073,889.28253,-1669.01,460.661,-2073.1575,200.95142
373,3.73,-1579.3629,890.0737,-1641.46,458.393,-2052.7178,212.04985
375,3.75,-1550.2804,891.1875,-1588.42,457.313,-2004.5977,228.13272
376,3.76,-1535.5483,891.9705,-1561.94,457.815,-1978.6849,233.92725
377,3.77,-1522.0562,893.0327,-1535.44,458.528,-1956.2803,240.98872
379,3.79,-1494.0239,896.1067,-1482.75,462.63,-1907.1908,250.17563
380,3.8,-1479.7576,897.90906,-1457.15,466.311,-1881.1385,252.49997
381,3.81,-1465.4208,899.77966,-1430.16,469.013,-1853.4219,252.35397
382,3.82,-1451.0114,902.189,-1402.74,471.766,-1823.636,249.27643
383,3.83,-1437.0002,904.0464,-1376.9,474.588,-1794.1161,245.18867
384,3.84,-1423.3643,905.92413,-1350.79,477.182,-1763.5841,239.76619
385,3.85,-1409.7681,907.70886,-1324.58,479.461,-1732.8534,233.32463
386,3.86,-1396.8163,909.3632,-1299.57,483.077,-1701.5035,225.73354
387,3.87,-1384.9877,910.46387,-1275.33,487.426,-1669.98,216.9915
388,3.88,-1372.1694,911.4913,-1252.16,491.526,-1637.3815,207.17688
389,3.89,-1359.2734,912.49097,-1229.66,495.782,-1603.9727,196.3234
390,3.9,-1344.5428,913.93365,-1209.63,500.06503,-1569.8906,184.86914
391,3.91,-1331.9976,914.5684,-1188.04,504.264,-1534.4565,172.4553
392,3.92,-1319.6206,914.60333,-1165.81,507.598,-1498.4486,159.7764
393,3.93,-1306.2869,914.9532,-1146.5,511.21896,-1461.1183,146.86162
394,3.94,-1293.411,915.2162,-1128.12,513.439,-1423.2394,133.97736
395,3.95,-1280.8289,915.171,-1109.3,516.127,-1384.2483,121.39073
396,3.96,-1269.4949,913.8818,-1089.87,518.916,-1344.5183,109.48729
397,3.97,-1255.11,913.64856,-1072.92,520.144,-1304.3813,98.02076
398,3.98,-1242.5782,912.413,-1054.55,521.445,-1263.4108,87.306335
399,3.99,-1230.0399,910.5793,-1037.31,521.695,-1222.8732,77.754456
400,4.0,-1217.3657,908.8939,-1020.98,521.511,-1181.7892,68.929
401,4.01,-1205.1987,906.43744,-1005.75995,521.032,-1141.5668,61.31228
402,4.02,-1193.3093,905.3683,-994.088,519.96,-1101.2979,54.55885
403,4.03,-1180.6549,903.08075,-980.279,518.512,-1060.8988,48.874565
404,4.04,-1168.0027,900.7669,-966.527,516.937,-1020.53406,44.34189
405,4.05,-1155.1632,898.16077,-953.259,514.983,-980.8071,40.86528
406,4.06,-1141.8652,896.0875,-940.387,512.974,-942.3908,38.393738
407,4.07,-1128.1954,893.73047,-928.46,510.28604,-904.7584,36.887096
408,4.08,-1114.3273,891.3159,-916.019,507.43097,-869.40216,36.01156
409,4.09,-1100.5668,889.07074,-903.374,505.11896,-834.9072,36.177853
410,4.1,-1086.5657,886.52295,-890.786,502.33002,-802.61475,37.057507
411,4.11,-1072.0515,884.5164,-878.341,499.568,-772.78754,38.04167
412,4.12,-1057.8683,882.1385,-866.28,496.903,-744.9862,39.43272
413,4.13,-1042.7465,880.22296,-854.424,494.465,-719.6402,41.049416
414,4.14,-1027.4785,878.60345,-840.257,492.56,-699.34094,41.16361
415,4.15,-1011.7385,877.26794,-823.616,491.63,-683.19916,40.264175
416,4.16,-995.9482,876.54395,-805.771,491.781,-670.31226,38.772762
417,4.17,-980.5118,876.27924,-785.892,493.246,-661.50934,36.21468
418,4.18,-965.1629,875.73114,-765.316,494.683,-655.0611,33.18812
419,4.19,-949.4952,875.4343,-745.859,496.056,-649.955,30.080488
420,4.2,-933.1875,875.4065,-727.184,497.178,-646.926,27.510784
421,4.21,-916.9489,875.122,-709.317,497.386,-645.4995,25.918436
422,4.22,-900.5082,875.9931,-695.467,497.887,-644.09033,26.363256
423,4.23,-883.2612,877.62103,-681.182,499.125,-635.1097,28.315645
424,4.24,-865.5999,880.25916,-661.09,502.509,-627.75555,30.83105
425,4.25,-848.0423,883.5639,-644.313,506.03598,-623.9386,32.187035
426,4.26,-832.0608,886.0833,-630.267,508.346,-623.68146,32.95469
427,4.27,-817.11163,888.0645,-616.241,510.24496,-623.92505,33.646355
428,4.28,-802.0099,890.28973,-601.878,511.075,-624.44556,33.8198
429,4.29,-786.8715,892.4604,-589.9,511.391,-625.9234,34.074898
430,4.3,-771.90576,894.73364,-580.808,511.25504,-626.85425,34.457867
431,4.31,-757.01086,897.21564,-572.832,510.664,-627.8983,34.91545
432,4.32,-742.15295,900.1468,-566.056,510.38803,-626.9509,35.226112
433,4.33,-727.6544,902.89417,-560.312,509.683,-626.8002,35.52417
434,4.34,-714.86475,905.5079,-554.401,510.122,-625.9934,35.866222
435,4.35,-701.1944,908.4788,-549.016,510.202,-626.55145,36.50826
436,4.36,-688.3117,911.1141,-544.534,509.758,-625.7031,36.9205
437,4.37,-675.26587,914.3173,-540.385,510.078,-625.9419,37.48269
438,4.38,-663.1118,916.9898,-536.517,510.01196,-626.53613,37.941307
439,4.39,-650.94916,919.7169,-533.545,510.436,-626.2277,38.580215
440,4.4,-638.9614,922.1016,-529.824,510.193,-626.6156,39.021038
441,4.41,-626.8787,924.293,-526.143,509.786,-627.2131,39.28738
442,4.42,-615.1693,926.34,-523.036,509.94904,-626.8374,39.72846
443,4.43,-603.812,927.95734,-519.617,509.408,-626.82513,39.95392
444,4.44,-592.7414,929.6084,-516.672,509.62604,-626.3106,40.52677
445,4.45,-581.1336,931.20245,-513.613,509.71198,-625.9057,41.14224
446,4.46,-570.0841,932.2371,-510.715,509.49597,-626.3796,41.703472
447,4.47,-559.1318,933.3211,-507.809,509.541,-626.99817,42.28105
448,4.48,-548.231,933.771,-503.98303,508.992,-627.2606,42.544895
449,4.49,-538.14746,934.18054,-500.864,508.901,-626.7916,42.87075
450,4.5,-528.25006,934.54865,-497.866,509.07498,-626.9545,43.424236
451,4.51,-517.95746,934.4665,-494.527,508.74298,-626.66754,43.8255
452,4.52,-507.99615,934.21454,-490.16,508.234,-626.8051,44.243946
453,4.53,-498.598,934.0106,-486.91,508.106,-626.63806,44.692936
454,4.54,-488.31314,933.5809,-483.149,507.50696,-626.50824,45.139744
455,4.55,-477.09467,933.1199,-479.903,506.66397,-626.8262,45.590385
456,4.56,-468.3175,932.1437,-474.903,505.93,-626.53217,45.968292
457,4.57,-457.20486,931.1909,-470.801,504.79095,-626.433,46.35056
