frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
211,2.11,-2157.7883,905.3637,-2004.5199,474.0,-1973.4003,18.604855,-3.0474208581642993e-22,5.525764678957166e-22,-4.883205937413282e-21,-7.357199087976506e-19,1.0462068718188e-18,1.4966679396439496e-19,1.3073957643685964e-14,-8.504009332117e-14,2.2594493957013226e-13,1.9315030656700053e-11,2.0190837960983378e-12,-4.526963961299594e-13,2.2014414072036743,-0.091003792360425,0.4661353290081024,127.40039138793945,-36.262016677856444,7.584660436213016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,2.12,-2145.1196,907.6197,-1995.87,475.207,-1973.2335,18.700998,4.2069332346309417e-23,9.735348183307062e-22,-1.0921231134752316e-20,-1.6784795577009324e-18,2.182663977133961e-18,1.708385373188871e-19,5.625035552907394e-14,-9.703878596934584e-14,-9.128713647358397e-14,-3.4735908420457926e-11,-9.889196666418298e-12,-6.698373973546002e-12,2.316583251953125,0.056592449080199,0.44039099514484403,129.8772186279297,-43.788002014160156,33.84952507019043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2.15,-2107.0303,914.4952,-1977.84,475.531,-1971.6849,18.856777,3.3026225384551897e-21,2.4768413878672183e-21,-4.057935926282731e-20,-6.380330310472476e-18,7.426638222403099e-18,-7.781745090061864e-20,3.264482651213485e-13,4.4465629237313963e-14,-2.933253705032779e-12,-4.67922328661885e-10,-9.937704131823821e-11,-4.961115719626097e-11,2.321000075340271,0.29304297268390656,0.4143452137708664,123.56096954345703,-58.921464920043945,69.88624877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,2.16,-2094.7039,916.5145,-1973.55,475.373,-1971.1803,18.99401,5.2612074844592336e-21,2.5632168556659055e-21,-4.937476813116424e-20,-7.820002804649835e-18,8.7664135615685e-18,-3.761495849740864e-19,4.435928919110585e-13,2.140842407863386e-13,-4.593649332446103e-12,-7.031868309859135e-10,-1.456556597556613e-10,-7.012923991522868e-11,2.2101253271102905,0.31757047176361086,0.41493856310844424,120.48978958129882,-61.66302223205567,71.07718963623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,2.17,-2083.145,918.4475,-1969.57,475.303,-1971.0558,18.984064,7.447637613629679e-21,1.9416658410108077e-21,-5.126324731901694e-20,-8.209774114315639e-18,8.670539771696971e-18,-8.401546871368593e-19,5.346609168854072e-13,4.778289092524646e-13,-6.406101473940829e-12,-9.43887490389983e-10,-1.9074529594709233e-10,-8.841042897778095e-11,2.054872143268585,0.3300959557294846,0.4071465343236923,118.31371765136718,-62.63586349487305,69.50639724731445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,2.18,-2071.9622,920.43585,-1966.09,475.241,-1970.8464,19.063274,9.403529194127971e-21,1.3558091099318411e-22,-3.914543294679611e-20,-6.438857971022034e-18,5.813789097697049e-18,-1.4832634959121037e-18,5.469974354108814e-13,8.432922383398017e-13,-7.955888725597048e-12,-1.121021786509857e-09,-2.1963699470273213e-10,-9.671353926044013e-11,1.865327787399292,0.33958418667316437,0.37405598163604736,116.25048522949218,-61.088308334350586,66.92434234619141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,2.19,-2061.1467,922.6448,-1962.62,475.431,-1971.4603,19.0928,1.0308947440917234e-20,-3.4165773509042925e-21,-3.536369320057827e-21,-1.0137349163731993e-18,-1.5293065479107313e-18,-2.276419036924255e-18,4.0250776615815415e-13,1.2939036994619179e-12,-8.517834354515586e-12,-1.1200503302610798e-09,-2.0814729662088638e-10,-8.306547671921294e-11,1.6519695281982423,0.3501228928565979,0.3086695998907089,112.55134353637695,-56.30420570373535,64.31741371154786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2.2,-2050.41,924.8858,-1959.81,475.604,-1971.8071,19.152918,8.893754261600305e-21,-9.268480084563254e-21,6.676442362080087e-20,9.843034334226742e-18,-1.5330727079605278e-17,-3.116932394744596e-18,-2.296660210371771e-15,1.7712315121543031e-12,-6.986687530602387e-12,-7.732023521445087e-10,-1.2170885584084078e-10,-3.0955387537133507e-11,1.4259657263755798,0.3616246670484543,0.22657738626003265,105.91772994995117,-48.81191864013672,61.869075775146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,2.21,-2039.6595,927.0565,-1957.42,475.739,-1971.894,19.194036,3.403958991872931e-21,-1.7787982536465695e-20,1.828422127219204e-19,2.791330208395828e-17,-3.743424093169427e-17,-3.790626749506266e-18,-7.883884056659671e-13,2.153476312202751e-12,-1.85886801218056e-12,1.3908512501437098e-10,8.378203504230686e-11,7.986233237222696e-11,1.1958744764328002,0.3718251585960388,0.16039419919252396,97.2351188659668,-39.513570404052736,59.712920379638675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2.22,-2029.3239,928.87164,-1955.24,475.825,-1971.9011,19.271235,-8.314665996215635e-21,-2.886848382465276e-20,3.5214424137347494e-19,5.443871619929426e-17,-6.886656521782218e-17,-3.9325943931907315e-18,-2.0734648481686434e-12,2.2331868125557986e-12,8.680335270017103e-12,1.869418531086353e-09,4.573811940300487e-10,2.7065698571249185e-10,0.9691432476043701,0.38050614595413207,0.13535119742155075,87.8986717224121,-28.68459987640381,57.73886642456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
