frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
308,3.08,-2634.2393,924.0517,-2443.07,483.574,-2418.6904,30.230356
309,3.09,-2657.837,876.38776,-2430.09,480.593,-2378.131,31.803623
311,3.11,-2633.174,868.13794,-2409.31,473.36,-2302.2654,39.31253
312,3.12,-2621.4233,863.9031,-2400.1,469.256,-2268.2456,43.82465
313,3.13,-2609.2534,859.60144,-2390.24,463.992,-2237.037,47.997536
314,3.14,-2597.0225,856.1787,-2378.94,460.605,-2208.8271,51.909702
315,3.15,-2584.2988,853.6899,-2364.79,459.567,-2185.3687,54.037727
316,3.16,-2570.8623,851.8005,-2347.52,460.334,-2166.3523,54.243893
317,3.17,-2555.1912,850.4987,-2326.24,461.933,-2150.7288,52.744713
318,3.18,-2539.973,849.88416,-2307.69,462.615,-2139.5889,48.674522
319,3.19,-2523.3958,848.52216,-2286.97,463.15,-2131.7424,43.626892
320,3.2,-2507.4268,847.4055,-2267.95,463.618,-2127.6965,37.26256
321,3.21,-2491.3384,846.7316,-2250.42,463.722,-2126.1052,31.140524
322,3.22,-2474.1494,846.49286,-2232.32,464.41,-2125.13,26.529486
323,3.23,-2457.3513,846.6817,-2216.4,465.924,-2119.2378,25.97049
324,3.24,-2440.9436,848.00586,-2204.92,471.89,-2109.0547,31.858723
325,3.25,-2424.765,850.1055,-2192.38,473.264,-2103.5771,31.950443
326,3.26,-2407.8762,852.85724,-2176.47,472.635,-2100.9915,28.624186
327,3.27,-2391.6392,855.4734,-2157.63,471.689,-2097.3306,25.443499
328,3.28,-2378.0327,856.70325,-2140.58,471.148,-2095.3367,22.825773
329,3.29,-2364.5522,857.44226,-2128.67,473.067,-2095.945,22.386057
330,3.3,-2349.9897,858.8672,-2119.26,475.545,-2095.4404,23.095467
331,3.31,-2333.4478,862.29376,-2109.16,476.655,-2095.543,22.442007
332,3.32,-2315.6455,866.8363,-2099.23,476.916,-2094.994,21.342983
333,3.33,-2299.3315,870.24347,-2089.63,475.749,-2093.3867,20.036772
334,3.34,-2283.4136,873.3465,-2079.91,474.493,-2092.0305,18.846024
335,3.35,-2268.663,875.74506,-2070.81,474.0,-2091.2246,18.427721
336,3.36,-2254.9595,878.4405,-2063.88,474.519,-2090.79,18.855066
337,3.37,-2241.913,881.0713,-2056.59,475.605,-2091.5193,19.466768
338,3.38,-2229.234,883.6425,-2048.91,475.876,-2091.919,19.574917
339,3.39,-2217.1682,886.0209,-2041.3499,475.212,-2091.1587,19.0926
340,3.4,-2204.871,888.57904,-2034.21,473.733,-2089.299,18.263052
341,3.41,-2192.8582,891.16797,-2027.6201,472.634,-2087.9402,17.686646
342,3.42,-2180.099,894.10864,-2023.15,472.266,-2088.0103,17.776003
343,3.43,-2167.3635,897.0863,-2020.1099,472.897,-2088.01,18.382692
344,3.44,-2154.562,899.95953,-2017.55,473.299,-2088.86,18.959272
345,3.45,-2141.6204,902.732,-2015.64,473.393,-2089.2378,19.43097
