frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
290,2.9,-2966.396,1012.77814,-2481.01,484.64,-2617.857,48.369606,5.151781897067466e-26,-1.761129883197849e-26,-3.3814701236004516e-26,-4.775845863134535e-24,-3.173935713654547e-24,-7.909015306106375e-24,1.328166221159737e-18,1.011295159854989e-17,-4.134959084250093e-17,-3.5435693016843567e-15,7.226492453263079e-16,1.538214320373092e-16,-0.9479690790176392,0.5329304933547974,0.26215521842241285,-14.417457580566406,87.28648300170899,278.0883453369141,3.668049764633179,-0.9223196685314179,-109.56457824707032,11650.61865234375,-3467.6615234375,640.3883972167969,0.0,0.0,0.0,0.0,0.0,0.0
291,2.91,-2825.5706,986.05743,-2465.29,486.851,-2574.2139,41.97235,3.7976866379639676e-26,-5.0876540690422486e-26,2.739475650861342e-25,2.551905035518131e-23,-4.3710058741757455e-23,-1.0333545613942503e-23,6.963232594832351e-19,1.1215004163218166e-17,-2.3920544694146975e-17,-1.2168549888933139e-15,4.2127966078377653e-16,2.43130567675108e-16,-0.9519072353839875,0.5195838809013367,0.28259133994579316,-11.840771579742432,90.10327224731445,278.86517028808595,3.6479135274887087,-0.8936716556549072,-109.56635284423828,11639.1115234375,-3462.7457275390625,662.8900512695312,0.0,0.0,0.0,0.0,0.0,0.0
295,2.95,-2635.3398,883.4377,-2406.71,487.67,-2395.5098,31.002243,-3.6960631633483626e-25,-3.1052578924676e-25,3.688265914249738e-24,3.690558820512297e-22,-4.541803603424656e-22,4.82381630742656e-24,-1.278845885261041e-17,-2.920375777171694e-17,3.7229323346197613e-16,4.150917755135417e-14,-6.469167124326146e-15,3.921766833891706e-16,-0.9342456519603729,0.5011268198490143,0.19429194778203965,0.1883641168475151,96.34356384277343,282.8428131103516,3.946129655838013,-0.824023324251175,-109.65292129516601,11665.6177734375,-3390.4553955078127,690.7264709472656,0.0,0.0,0.0,0.0,0.0,0.0
296,2.96,-2586.245,925.12244,-2394.21,485.803,-2353.1917,32.571835,-5.956508391303211e-25,-3.5392216409570945e-25,4.788363212155743e-24,4.824838843525834e-22,-5.719929096152003e-22,2.5185848998337436e-23,-1.951642261021529e-17,-6.160260289894367e-17,5.746144300412407e-16,6.150051679672166e-14,-9.99476177277088e-15,1.3039474709064476e-16,-0.9223333537578583,0.5051511645317077,0.13757889866828918,2.9059184312820436,93.28053741455078,284.0097686767578,4.092243766784668,-0.8473082542419433,-109.68472366333008,11678.09970703125,-3374.15283203125,703.594970703125,0.0,0.0,0.0,0.0,0.0,0.0
298,2.98,-2598.2368,873.26746,-2372.55,478.35,-2273.4412,39.23359,-1.0866653238297611e-24,-1.7993514066213002e-25,5.0622676696911926e-24,5.23301344929405e-22,-5.350451538285762e-22,1.0129539857187888e-22,-3.2129355308485114e-17,-1.5859747627949483e-16,9.676538376630135e-16,9.504827141819903e-14,-1.6864267584671983e-14,-1.3566741904170949e-15,-0.9061895966529846,0.5256763517856597,0.03466998543590307,5.102325487136841,82.2433235168457,285.14613342285156,4.342591667175293,-0.8738827645778656,-109.71702575683594,11676.01455078125,-3369.6500244140625,763.3745544433593,0.0,0.0,0.0,0.0,0.0,0.0
299,2.99,-2586.1682,868.95636,-2363.71,473.748,-2237.5544,44.249683,-1.2089687408534163e-24,1.657307128319362e-25,2.7460040147287284e-24,3.01783555761441e-22,-1.957798324359388e-22,1.5618166201661148e-22,-3.3015199900952646e-17,-2.1275654455125308e-16,1.013210445939902e-15,9.227225239308648e-14,-1.768634507782769e-14,-2.762170205831537e-15,-0.9040223658084869,0.5358142137527466,0.0017340891921776348,4.616478395462036,74.20104598999023,284.2512969970703,4.413084268569946,-0.8670638501644135,-109.70909881591797,11669.686328125,-3374.088330078125,792.2260009765625,0.0,0.0,0.0,0.0,0.0,0.0
300,3.0,-2573.8545,864.5056,-2354.54,468.789,-2204.3147,49.47026,-1.0743386326285842e-24,7.865422260838183e-25,-2.601738019850428e-24,-2.217150443106311e-22,5.239314630391241e-22,2.147597048831796e-22,-2.456875344879976e-17,-2.524969084515913e-16,7.897020357331173e-16,5.845807168956655e-14,-1.3837031123491422e-14,-4.643256231709383e-15,-0.9055263996124268,0.5407758116722107,-0.013867024984210729,4.454889726638794,66.39474754333496,282.5901245117187,4.437311601638794,-0.8483268976211548,-109.67855682373047,11668.8689453125,-3375.1101318359374,806.8789489746093,0.0,0.0,0.0,0.0,0.0,0.0
301,3.01,-2561.2317,860.361,-2343.87,464.426,-2174.3442,54.321533,-4.8178324917768575e-25,1.750940006339589e-24,-1.2194590368368726e-23,-1.170929233443947e-21,1.7614363626680637e-21,2.6247211774293024e-22,-5.849671003597469e-19,-2.519728465201471e-16,1.1206223070261293e-16,-2.5269202047928807e-14,-2.09369046514934e-15,-6.869375877046994e-15,-0.91090327501297,0.5401240110397338,-0.017092296853661537,5.550865554809571,59.70492744445801,280.8811279296875,4.423359394073486,-0.8220519959926605,-109.62991638183594,11671.294921875,-3371.3257568359377,801.5482299804687,0.0,0.0,0.0,0.0,0.0,0.0
302,3.02,-2548.6843,857.0808,-2330.81,461.602,-2148.4312,57.559715,8.183208719693622e-25,3.086129016383264e-24,-2.708399774655464e-23,-2.6552419306976193e-21,3.624218142738107e-21,2.7437065192678533e-22,4.621133678641135e-17,-1.7335014059572663e-16,-1.239547549143822e-15,-1.8022336959388693e-13,2.1376107501647807e-14,-9.08050617324011e-15,-0.9182300686836242,0.5368447482585907,-0.012873217463493347,7.20327672958374,54.09866065979004,279.48305053710936,4.369900703430176,-0.7960625767707825,-109.56913681030274,11669.5962890625,-3363.927587890625,772.2723999023438,0.0,0.0,0.0,0.0,0.0,0.0
303,3.03,-2535.9646,854.6073,-2315.22,461.439,-2126.9143,59.021534,3.0932399071905393e-24,4.7307876862285986e-24,-4.7682337064422556e-23,-4.7224523922618724e-21,6.128609835077009e-21,2.1299499527029633e-22,1.2293463898998816e-16,3.285447539921114e-17,-3.4848438721765056e-15,-4.25894085623324e-13,6.040969150421498e-14,-1.0581506154015144e-14,-0.9245866000652313,0.5340000212192535,0.004410812298010569,7.811022710800171,50.2966869354248,277.9721740722656,4.28306131362915,-0.7814211964607238,-109.50188369750977,11661.8802734375,-3355.6752197265623,736.9891479492187,0.0,0.0,0.0,0.0,0.0,0.0
