sub_id,talla_cm,dentro_rango,r_X_relhip,r_Y_relhip,RMSE_X_relhip,RMSE_Y_relhip
100599,159.1,0,0.954540206629212,0.796389157732819,4.23139128908738,2.52194500102872
100571,168.2,1,0.979677266713561,0.880445545755121,4.58711398760469,1.65040767831678
100218,170.7,1,0.95898967936762,0.875764487042006,3.27838435875813,1.29807459368125
100342,172.2,1,0.969170030794676,0.800783105986864,2.48596519297891,1.5664771994039
100262,173.4,1,0.981980380059135,0.849934972062654,3.73936671592044,1.32342799970292
100004,175,1,0.965746415038518,0.868041259623591,2.64633492086885,1.59276001448816
100242,175.4,1,0.977193216649079,0.744386151561711,3.63571717740218,1.04492670900514
200336,177,1,0.95774488624354,0.808653358740337,3.53816696529137,1.22237066399042
100212,177.6,1,0.942045173621462,0.730921060673595,3.75543862638929,1.95911595552053
100580,178.2,1,0.887245585893243,0.606706924200954,5.31289682646102,1.78674969093571
101141,179.8,1,0.972063410839369,0.893982814345854,6.12445357148792,1.27650588129853
200285,180,1,0.901063731542964,0.642148970381435,5.52150734640603,1.2205220367935
101403,181,1,0.97186811788103,0.928400501099053,5.9286837685802,2.03361959254619
100099,181.5,1,0.988744824655246,0.857775684583774,4.9245807206935,1.15924704624661
100997,182.3,1,0.953875004261157,0.709948364392316,3.36540830269142,1.27035431765919
100793,183.5,1,0.87373469679114,0.524571463564647,5.25010999304507,1.48339368347123
101809,185.4,1,0.915256335231624,0.827919284974884,4.54132180682257,1.10015920298493
100817,186.5,1,0.935940295714218,0.907426540248541,5.13209468251962,0.778301138303928
101500,190,0,0.938121147170934,0.858254368967847,4.0696422234821,0.946480502336368
200295,195,0,0.816731501614454,0.383478480838065,7.03539980737403,1.98743273328251
100511,150,0,0.981826143353782,0.880291789756143,2.78306270381856,2.32489146677036
100682,155.9,0,0.996007465854093,0.812711505861414,3.01823363281563,0.880582324350686
101264,158,0,0.974917684054418,0.870209646543869,4.78516454659379,1.93312472334325
100899,159,0,0.982473935617938,0.913720808830298,3.80241035423453,1.81144178002167
100850,161,1,0.794346635437591,0.42045870843579,6.15424139021197,1.88013413030585
101498,163,1,0.95054316433467,0.747383083248443,3.55578862341983,1.16292982395403
101393,163.5,1,0.978134014974556,0.840543869576422,2.83238719349604,1.27258063529617
101407,164.5,1,0.977452155772111,0.854207908603372,3.2895572438213,1.0036437607483
100254,165,1,0.971054976203062,0.845298998235671,2.75252830404866,0.955801481682357
101035,165.5,1,0.942297872261285,0.793936110610323,3.31885942254361,1.87907467120031
100518,167,1,0.936172832058353,0.770130884515975,4.25691363443895,1.80310038161953
100834,168,1,0.994994490532251,0.963298363821057,2.95656680688917,0.785416572133524
100532,169,1,0.923027707667327,0.637771733027588,4.43925052627277,2.77485099502598
100727,170,1,0.944965077386334,0.795608252492448,3.9733782034545,0.972500120878296
102002,170,1,0.929676969870321,0.872185495899202,3.78780258066608,1.07831261798358
100732,171.5,1,0.929519705757474,0.667622748587425,3.59184315143043,1.17318043223246
100991,173,1,0.965168073070411,0.863078175977389,5.00930851539835,2.72749843076976
101339,175,1,0.924863518242697,0.50995568842956,5.35737079588894,1.87712863222284
100320,176.7,1,0.979637923483079,0.911911742686964,3.10467119005249,2.12594855804599
100755,187.5,0,0.882526552230061,0.608138574864256,5.39632078865418,1.43399470151636
