sub_id,rx_Koopman,rx_Zhao_izq,rx_Zhao_der,rx_Yun_R,rx_Yun_L,ry_Koopman,ry_Zhao_izq,ry_Zhao_der,ry_Yun_R,ry_Yun_L
100599,0.954498436906811,0.974176993027508,-0.898291786145365,0.925152189207362,-0.997655731556803,0.824937689130263,0.839057315625477,-0.597060482978718,-0.754154577571649,0.632599832934481
100571,0.979752330304761,0.929771199608772,-0.857508876612933,0.912516762935244,-0.981120458240282,0.885831765202812,0.816952238875812,-0.561245335473568,-0.691849603569689,0.711691314348338
100218,0.959482776447817,0.949918788274005,-0.850718928244089,0.894494777562837,-0.986592564890734,0.893490560563542,0.802139475595883,-0.561237008759155,-0.725516867512294,0.664525985427129
100342,0.969460186342343,0.937087189502648,-0.848221465119566,0.901008323148582,-0.981661365247445,0.838487130680577,0.771815921555037,-0.645713849638804,-0.82123974474397,0.549042619630599
100262,0.982292618328509,0.912512274126629,-0.834995517730027,0.898156864885234,-0.971813481840001,0.873709187241918,0.753546776696698,-0.646812799643421,-0.801713145288579,0.588328345913968
100004,0.966358763107124,0.93451413061593,-0.835775802463741,0.887750740319655,-0.98096271878938,0.90346897000741,0.747609765990665,-0.538240726784514,-0.753086215657022,0.580035951260968
100242,0.977198490867882,0.92080684558303,-0.851518087439615,0.909530357137916,-0.977441840361217,0.72955476102224,0.857092846928462,-0.639470749784205,-0.692307827141794,0.760002356302275
200336,0.958365876601618,0.940033293702961,-0.840211921371595,0.889041205323663,-0.982394123304176,0.821424414185174,0.846611672744556,-0.598618722985467,-0.723096132994972,0.700866490576394
100212,0.942232934909304,0.956211806009783,-0.86832690155867,0.911723824103684,-0.98786074915834,0.768622232892281,0.76099111760918,-0.69839500143346,-0.840854705306536,0.516308335739515
100580,0.887326165569027,0.984286584539016,-0.878672284808303,0.892423455512925,-0.988926362230007,0.64457065325705,0.806085936626697,-0.702164797191425,-0.826768041001783,0.521011934268893
101141,0.972150731741425,0.916065329973011,-0.842037551532589,0.904433548689463,-0.972325199199689,0.915357539269261,0.725841071119882,-0.582091202925071,-0.753603988210304,0.599421427212068
200285,0.90083615067789,0.981814385551094,-0.902241473621942,0.922624983311368,-0.996442990918055,0.629509855594378,0.96572051221288,-0.38969068798123,-0.469535007464488,0.893203973032073
101403,0.971829955247147,0.908500699187053,-0.835829424861752,0.904090897264358,-0.965209113414938,0.921602759032559,0.678909820414391,-0.483824694411929,-0.604273048709722,0.669894006557544
100099,0.989006730637355,0.870899939345596,-0.798570318184504,0.878194077095073,-0.946399000209865,0.849716718314366,0.712625424165705,-0.697072795781628,-0.779068144733463,0.632417395425532
100997,0.954123835156633,0.93899303239626,-0.857634714798535,0.907695708434154,-0.985015307888385,0.747051818217432,0.786537143120168,-0.670679755467284,-0.824074705169257,0.543743771072564
100793,0.87378623725053,0.987222286356551,-0.892013490463314,0.908240666744824,-0.991922948481499,0.512760070607836,0.950318453263167,-0.542011204008535,-0.563449966024924,0.818980018345245
