sub_id,talla_cm,dentro_rango,r_x_sinCorr,rmse_x_sinCorr,r_y_sinCorr,rmse_y_sinCorr,r_x_conCorr,rmse_x_conCorr,r_y_conCorr,rmse_y_conCorr
100599,159.1,0,0.954540206629212,4.23139128908738,0.796389157732819,2.52194500102872,0.634683509022383,13.0426252125945,-0.173497575697808,8.72879385491426
100571,168.2,1,0.979677266713561,4.58711398760469,0.880445545755121,1.65040767831678,0.581675091494689,14.7441122627459,-0.354703355593563,8.73329355335386
100218,170.7,1,0.95898967936762,3.27838435875813,0.875764487042006,1.29807459368125,0.581989986819574,12.2066188768704,-0.331623411990613,8.40547030401451
100342,172.2,1,0.969170030794676,2.48596519297891,0.800783105986864,1.5664771994039,0.576846523881078,11.4787877407769,-0.237551261447807,8.35273469496849
100262,173.4,1,0.981980380059135,3.73936671592044,0.849934972062654,1.32342799970292,0.564534107062397,14.246537394307,-0.292825867566817,8.44639799200553
100004,175,1,0.965746415038518,2.64633492086885,0.868041259623591,1.59276001448816,0.586024389071088,11.5510545383449,-0.336946905672215,8.84357399506954
100242,175.4,1,0.977193216649079,3.63571717740218,0.744386151561711,1.04492670900514,0.585784264649041,13.9837124484858,-0.203078441734095,7.68766862902273
200336,177,1,0.95774488624354,3.53816696529137,0.808653358740337,1.22237066399042,0.567444981620291,13.0171299538173,-0.34053926487078,8.35807511239735
100212,177.6,1,0.942045173621462,3.75543862638929,0.730921060673595,1.95911595552053,0.565817117193839,12.6377369742193,-0.18996160714755,8.77725342944556
100580,178.2,1,0.887245585893243,5.31289682646102,0.606706924200954,1.78674969093571,0.618022037407982,9.85037219322637,-0.0699867797386549,7.69319737689751
101141,179.8,1,0.972063410839369,6.12445357148792,0.893982814345854,1.27650588129853,0.570283640487537,16.9419851563202,-0.447069378818957,8.88614666960865
200285,180,1,0.901063731542964,5.52150734640603,0.642148970381435,1.2205220367935,0.623982047253664,13.9842097256076,-0.273370763672448,7.81473464303888
101403,181,1,0.97186811788103,5.9286837685802,0.928400501099053,2.03361959254619,0.52548561928819,16.9577967876085,-0.51140372189782,9.75032917695324
100099,181.5,1,0.988744824655246,4.9245807206935,0.857775684583774,1.15924704624661,0.525615343974477,16.3919332531242,-0.315901809833663,8.5044062411916
100997,182.3,1,0.953875004261157,3.36540830269142,0.709948364392316,1.27035431765919,0.58836458797805,10.498107720996,-0.190359667428364,8.1668744207571
100793,183.5,1,0.87373469679114,5.25010999304507,0.524571463564647,1.48339368347123,0.595285618283265,11.1649605045925,-0.143590144952154,7.27509579952307
101809,185.4,1,0.915256335231624,4.54132180682257,0.827919284974884,1.10015920298493,0.522810222444059,11.5551209685487,-0.382581776202168,8.54162024492123
100817,186.5,1,0.935940295714218,5.13209468251962,0.907426540248541,0.778301138303928,0.583527078286391,9.3512370011055,-0.450060771775536,8.45217671964372
101500,190,0,0.938121147170934,4.0696422234821,0.858254368967847,0.946480502336368,0.537807868383612,12.7831559370955,-0.44098155168138,8.67028216133112
200295,195,0,0.816731501614454,7.03539980737403,0.383478480838065,1.98743273328251,0.607877176893958,12.1386063646506,-0.111963971958315,7.57652458776731
100511,150,0,0.981826143353782,2.78306270381856,0.880291789756143,2.32489146677036,0.616259311063248,11.6375578109079,-0.240957913683447,8.42474546035964
100682,155.9,0,0.996007465854093,3.01823363281563,0.812711505861414,0.880582324350686,0.574243044223807,12.7865399858083,-0.174851219675013,7.12849042846067
101264,158,0,0.974917684054418,4.78516454659379,0.870209646543869,1.93312472334325,0.620253472613409,14.1308099048266,-0.283774193521223,8.51381370436278
100899,159,0,0.982473935617938,3.80241035423453,0.913720808830298,1.81144178002167,0.593530839295348,13.412563447785,-0.296955125226889,8.50011009221846
