sub_id,talla_cm,r_v0_crudo,rmse_v0,r_v1_calibLOSO,rmse_v1,r_v2_pipeline_menosXh,rmse_v2,r_v3_full_vs_global,r_v3_full_vs_relhip
100599,159.1,0.954498436906811,3.28567691978712,0.954540206629212,4.23139128908738,0.328052221598267,24.1325535728257,0.421456475741813,0.438067235331783
100571,168.2,0.979752330304761,2.63688880402635,0.979677266713561,4.58711398760469,0.425136709279554,24.9609806707733,0.330874929899104,0.333664857095128
100218,170.7,0.959482776447817,3.92942422126672,0.95898967936762,3.27838435875813,0.387576112595275,28.1420670010627,0.354333599894311,0.365953514259563
100342,172.2,0.969460186342343,3.94664852742945,0.969170030794676,2.48596519297891,0.408984658303097,28.170654916964,0.328168681118116,0.344765036695759
100262,173.4,0.982292618328508,2.34292466231507,0.981980380059135,3.73936671592044,0.444614497341252,26.4909443223753,0.285190745147606,0.30776361133104
100004,175,0.966358763107124,4.19660580069496,0.965746415038518,2.64633492086885,0.39437527482729,28.9264621239662,0.333598912398171,0.356770558967283
100242,175.4,0.977198490867882,2.73591674432752,0.977193216649079,3.63571717740218,0.419365890495822,27.1733290832749,0.336382484401854,0.331441894955796
200336,177,0.958365876601618,3.97104214889553,0.95774488624354,3.53816696529137,0.400487511640722,29.1853386452976,0.291255598451014,0.346041274076269
100212,177.6,0.942232934909304,4.55219549653358,0.942045173621462,3.75543862638929,0.378250021221879,29.0646287856953,0.375330786688973,0.36346047762777
100580,178.2,0.887326165569027,7.56594610996325,0.887245585893243,5.31289682646102,0.255639664514055,32.4901656070863,0.43888637031294,0.468150780508494
101141,179.8,0.972150731741425,3.82842214989893,0.972063410839369,6.12445357148792,0.425410639720398,26.804492116639,0.330974203917678,0.319469087659617
200285,180,0.90083615067789,5.57524404643099,0.901063731542964,5.52150734640603,0.276817113036006,29.5674586755027,0.461324655794586,0.451058537856307
101403,181,0.971829955247147,3.6717752655108,0.97186811788103,5.9286837685802,0.467261068003787,27.0716891301766,0.265353003238287,0.27276531388982
100099,181.5,0.989006730637355,2.33997512304662,0.988744824655246,4.9245807206935,0.500734480970779,27.1840335345215,0.240818833141319,0.237692556662278
100997,182.3,0.954123835156633,5.87642688747002,0.953875004261157,3.36540830269142,0.381029231150206,30.9706297715555,0.349466262781575,0.360892753042412
100793,183.5,0.87378623725053,7.15974394136892,0.87373469679114,5.25010999304507,0.263872107429524,32.1125475793974,0.402933964583181,0.451150134358359
101809,185.4,0.915858756939554,6.5551078869289,0.915256335231624,4.54132180682257,0.379734504106678,32.3941037691148,0.306452297685396,0.345224716685437
100817,186.5,0.936763808603385,8.03633868068266,0.935940295714218,5.13209468251962,0.361587889375649,34.6322004922487,0.355852344251747,0.371022749857787
101500,190,0.938461525058416,5.67660533318407,0.938121147170934,4.0696422234821,0.406847198556712,32.7338785325585,0.273719332951645,0.322383259370775
200295,195,0.816681794445439,8.95312902419925,0.816731501614454,7.03539980737403,0.194265135028832,35.6648410936397,0.444631372712894,0.493307808415166
