"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.09994888"
"17";"0.2003975"
"25";"0.3027725"
"33";"0.4080353"
"42";"0.5167618"
"50";"0.6297073"
"58";"0.7480278"
"67";"0.8725967"
"75";"1.002914"
"83";"1.136551"
"92";"1.2696"
"100";"1.397602"
"108";"1.516388"
"117";"1.622757"
"125";"1.714863"
"133";"1.792336"
"142";"1.856197"
"150";"1.908325"
"158";"1.950825"
"167";"1.985798"
"175";"2.01511"
"184";"2.040119"
"192";"2.061768"
"200";"2.080948"
"209";"2.098541"
"217";"2.115078"
"225";"2.130436"
"234";"2.143875"
"242";"2.154366"
"250";"2.161076"
"259";"2.163765"
"267";"2.162716"
"275";"2.158291"
"284";"2.150612"
"292";"2.139549"
"300";"2.124844"
"309";"2.106388"
"317";"2.084568"
"325";"2.060036"
"334";"2.032997"
"342";"2.003201"
"350";"1.970409"
"359";"1.934315"
"367";"1.894287"
"375";"1.849785"
"384";"1.800674"
"392";"1.746918"
"400";"1.688339"
"409";"1.624825"
"417";"1.556484"
"425";"1.48365"
"434";"1.406773"
"442";"1.326248"
"450";"1.24226"
"459";"1.15456"
"467";"1.062378"
"475";"0.9649048"
"484";"0.8617363"
"492";"0.7528954"
"500";"0.6390381"
"509";"0.5218544"
