sub_id,sexo,talla_cm,masa_kg,n_ciclos,speed_ms,T_ciclo_s,r_ang,rmse_ang_crudo,rmse_ang_cal,ganancia_ang,offset_ang,r_x_abs,rmse_x_abs,r_y_abs,rmse_y_abs
1,M,175,75.5278615475429,7,1.37295330456294,0.878571428571428,0.990753846851795,7.83227564658671,1.80410702562692,0.772219380186887,-2.70528313636196,0.998613463589429,2.22160427237657,0.965875430611667,0.312236514168257
4,M,183.5,68.7529807388109,9,1.06366707926827,1.01777777777778,0.985363667132809,5.78867839751035,2.42079374521317,0.766325199252966,-2.74626479618768,0.99870621539679,4.02737154796298,0.93913896480216,0.985360029149149
8,F,171.6,75.6063604141372,10,0.63212127503582,1.092,0.95320577170568,9.78876121055118,4.57399064130922,0.768384106631274,-2.44295068166993,0.998809748601244,2.79264651856724,0.856094301877489,0.981669146799079
11,F,170.1,68.8386437396119,7,1.25282022178233,0.967142857142857,0.992376783068714,10.5082904619607,5.04465188734228,0.761768931964516,-2.29274862303524,0.998650480567833,3.54355142989557,0.938804382857234,0.451246470568522
13,F,178,73.1549189537972,6,1.12160050860429,1.10666666666667,0.987451527690675,7.71004680840548,2.98155120413881,0.760614150217776,-2.48616104888123,0.995271075398936,6.98243002949416,0.954219817828072,0.818665636292714
19,F,169,63.2347601966772,8,0.78471429600994,1.03125,0.960853867254967,7.50995465672759,2.74151698253129,0.771332638187958,-2.6918312708028,0.999189648049872,2.3483446814869,0.920215102989446,0.587388543111734
22,M,184.5,85.818703009347,8,0.98547063532865,0.94125,0.921435782644024,8.30180917207163,4.17174354203308,0.777263780667051,-2.82153118136086,0.998153248589405,4.0837731420652,0.910379334503885,0.591634082104151
25,M,178,80.1891395373311,9,0.746225572334822,0.968888888888889,0.959081113233712,7.5787220162492,3.00195716324311,0.777117003260613,-2.81317999242144,0.995815948614901,5.07993052091483,0.887687454097088,0.516266415997328
28,M,172.5,103.593135418738,8,1.19882325138007,1.06875,0.989774654027312,8.37392464648432,3.73879050995583,0.757511727986445,-2.38745614612196,0.997633928123284,3.61522253250436,0.967493431633544,0.588303884270909
31,M,183,80.5796896442,7,1.12090064245724,1.21857142857143,0.992796559273005,4.64898832079251,3.03331117862416,0.760393938208689,-2.71659239450351,0.99799016174768,3.45622058259218,0.958921174880939,1.0566601416016
37,M,186.6,90.3777449015748,12,0.768508283260368,1.03083333333333,0.954938659180509,8.71184437327544,3.39146202036527,0.777610112712639,-2.72764386331167,0.994603449960324,4.70209114041609,0.908560201504503,0.605980789812456
40,M,183.6,136.136570143127,14,0.854869632139846,1.05785714285714,0.970209139469242,4.5210679266026,4.82482350029149,0.77052987226938,-2.99065344366574,0.998650200368313,3.35566723070489,0.927368308215814,0.424145542937327
43,M,179,61.0226744015572,7,1.20943834403404,1.01714285714286,0.948538789124999,6.08865962832618,4.98738586172793,0.763022487107128,-2.77977908267425,0.996990159670218,4.61131753210301,0.95300297452646,0.85961073837653
46,F,165,64.6102763234205,12,0.946102068474405,1.0625,0.977718801415757,7.61150752138837,2.40946833126446,0.76852614947064,-2.627530244713,0.998797880758667,3.30900034236146,0.896145809875791,1.26858124491996
49,M,174.5,80.6332071538085,14,0.808633123959385,0.953571428571429,0.985324022121615,5.08637508321997,4.9180141212429,0.77713252342096,-3.09243667040146,0.997019840919117,5.39500371192024,0.822836660672919,0.734603351073531
