sub_id,talla_m,Lpierna_m,rmseX_fija,rmseX_talla,rmseX_pierna,rmseY_fija,rmseY_talla,rmseY_pierna
1,1.75,0.78,1.09789181615064,1.01241699604116,0.772637190807168,1.1803910060095,1.1997076479192,1.27257785002411
4,1.835,0.883,0.615790403672495,0.480403896759387,0.383721259760518,0.764447243426464,0.772971351944007,0.78005793106941
13,1.78,0.873,0.784569854772699,0.784633264188756,0.968214630500028,0.56402329704794,0.569905815483081,0.633628863327267
19,1.69,0.819,1.21228052083845,0.988248219157311,1.11584545751138,0.884082576312671,0.82895656869688,0.861911443486346
22,1.845,0.884,0.488263643256273,0.368988383142593,0.332016276624005,0.922521475419587,0.958151341533789,0.982664067481151
25,1.78,0.831,0.812984298942564,0.811700305889878,0.776244438548202,0.698400100092391,0.707004171389188,0.702984151997335
28,1.725,0.808,1.56049653103747,1.67895890633579,1.69282497881565,0.623405616993874,0.663716531492972,0.664744051772478
31,1.83,0.869,1.67921692274778,1.54027420815062,1.48935950591159,2.5181168822235,2.49899416018994,2.49512872223416
37,1.866,0.904,1.71511241174619,1.9613220932679,2.12524664333061,0.883423307433404,0.924902409773467,0.95906876278658
40,1.836,0.84,0.625212512433068,0.710567535190685,0.638470512357345,2.12091446605723,2.13463273179677,2.11840395871417
43,1.79,0.825,4.54022378586771,4.5152478340909,4.61842671114985,1.92680283610579,1.92312921159068,1.91983950024031
46,1.65,0.765,1.41822180546242,1.10142384985193,1.04950499276369,0.575849027426089,0.68585838649943,0.703499960195343
49,1.745,0.815,1.53869576888324,1.43438696758051,1.39977711921556,0.568502119789145,0.56732840391272,0.571017811072983
