"Time (ms)";"Trajectory 1"
"0";"0"
"8";"-0.05711746"
"17";"-0.1328583"
"25";"-0.2236443"
"33";"-0.3058014"
"42";"-0.3545799"
"50";"-0.3597755"
"58";"-0.3294754"
"67";"-0.2835388"
"75";"-0.2417183"
"83";"-0.2141342"
"92";"-0.2009048"
"100";"-0.1980171"
"108";"-0.2010803"
"117";"-0.2064819"
"125";"-0.2132225"
"133";"-0.2224884"
"142";"-0.2350082"
"150";"-0.2502556"
"158";"-0.2666893"
"167";"-0.2819481"
"175";"-0.2929764"
"184";"-0.2970009"
"192";"-0.2939529"
"200";"-0.2870255"
"209";"-0.280323"
"217";"-0.2765656"
"225";"-0.2763596"
"234";"-0.2782364"
"242";"-0.2801857"
"250";"-0.2820587"
"259";"-0.2848969"
"267";"-0.288208"
"275";"-0.2907448"
"284";"-0.2929039"
"292";"-0.2963181"
"300";"-0.3013878"
"309";"-0.3064919"
"317";"-0.3104515"
"325";"-0.3137856"
"334";"-0.3168945"
"342";"-0.3201447"
"350";"-0.3244133"
"359";"-0.3289452"
"367";"-0.3314552"
"375";"-0.3314438"
"384";"-0.3304443"
"392";"-0.3295059"
"400";"-0.3293037"
"409";"-0.3305092"
"417";"-0.3318558"
"425";"-0.3311615"
"434";"-0.3294029"
"442";"-0.3305435"
"450";"-0.3369789"
"459";"-0.347271"
"467";"-0.3585587"
"475";"-0.3697891"
"484";"-0.382267"
"492";"-0.3977814"
"500";"-0.4167671"
"509";"-0.4388351"
"517";"-0.463665"
"526";"-0.4889641"
"534";"-0.5099678"
"542";"-0.523468"
"551";"-0.53022"
"559";"-0.5332794"
"567";"-0.5362778"
"576";"-0.5429535"
"584";"-0.5555344"
"592";"-0.5728607"
"601";"-0.5920219"
"609";"-0.6123848"
"617";"-0.6357079"
"626";"-0.662487"
"634";"-0.6904831"
"642";"-0.7165489"
"651";"-0.7387428"
"659";"-0.7572098"
"667";"-0.7737617"
"676";"-0.790081"
"684";"-0.8059464"
"692";"-0.8193016"
"701";"-0.8286247"
"709";"-0.8362465"
"717";"-0.8481598"
"726";"-0.8692017"
"734";"-0.8982468"
"742";"-0.9281807"
"751";"-0.9515228"
"759";"-0.9663734"
"767";"-0.9753685"
"776";"-0.9796791"
"784";"-0.9772339"
"792";"-0.9669991"
"801";"-0.9511452"
"809";"-0.9327698"
"817";"-0.9143715"
"826";"-0.8971901"
"834";"-0.8811951"
"843";"-0.8660622"
"851";"-0.851078"
"859";"-0.8344002"
"868";"-0.8138237"
"876";"-0.7889481"
"884";"-0.7611351"
"893";"-0.7301788"
"901";"-0.6926155"
"909";"-0.6437492"
"918";"-0.5812302"
"926";"-0.5061111"
"934";"-0.4196777"
"943";"-0.3211136"
"951";"-0.210125"
"959";"-0.09073257"
