sub_id,config,r_x,rmse_x,r_y,rmse_y
1,Zhao_izquierda_nativo,0.98851860124259,20.9460961615633,0.381477911972823,5.59920719127421
4,Zhao_izquierda_nativo,0.984529621764816,17.3518135595141,0.612828551301514,3.65570555374834
8,Zhao_izquierda_nativo,0.958803900913629,8.92782365158188,0.58940304778503,3.02334794300386
11,Zhao_izquierda_nativo,0.989869375483403,21.5181143203217,0.451428656342376,4.72900793796076
13,Zhao_izquierda_nativo,0.972606994597655,20.0309686391543,0.514241193504955,4.61038425058843
19,Zhao_izquierda_nativo,0.968331766702418,9.99483253307564,0.631236220640462,2.93139729540042
22,Zhao_izquierda_nativo,0.984585944859983,12.4870074962277,0.458319689059885,3.27088140326585
25,Zhao_izquierda_nativo,0.977165118203,9.86048570522977,0.582733802651282,3.07279523203152
28,Zhao_izquierda_nativo,0.991801311492492,25.6602679350619,0.529728957318083,4.44833585228885
31,Zhao_izquierda_nativo,0.992320247189815,23.9793821383743,0.38320105187703,7.14797077430667
37,Zhao_izquierda_nativo,0.978893400017324,11.2835655708487,0.567172431503318,3.74577636890558
40,Zhao_izquierda_nativo,0.976004741311482,13.779596278897,0.590312396232018,2.98568253801378
43,Zhao_izquierda_nativo,0.990695669204523,21.3100346107084,0.526348517740637,3.74843476534451
46,Zhao_izquierda_nativo,0.992483801473978,15.4730261665923,0.330662455856917,3.97951778881444
49,Zhao_izquierda_nativo,0.986004321152834,14.2561921573433,0.389458632337617,3.59947123155108
1,Zhao_derecha_alt,0.997219448618441,20.7269380771129,0.805194572843012,4.85006917174508
4,Zhao_derecha_alt,0.992826871332829,17.2113806422743,0.940405007398179,2.53320259789654
8,Zhao_derecha_alt,0.997604951456318,8.04343068479447,0.956045174021847,2.0181925614409
11,Zhao_derecha_alt,0.994624789539904,21.5683951739282,0.842320995493805,3.90340823059867
13,Zhao_derecha_alt,0.998738866465458,19.1257244613572,0.934624280014212,3.4511637140239
19,Zhao_derecha_alt,0.997572962707636,9.44718043331005,0.954249235640303,2.02248157619876
22,Zhao_derecha_alt,0.985486430541263,12.3711934673958,0.897388991891778,1.90979287253651
25,Zhao_derecha_alt,0.989110164661089,9.88029462692681,0.93320807859064,2.10285784472138
28,Zhao_derecha_alt,0.993602796348851,25.6084648959216,0.892972307295577,3.60901529585116
31,Zhao_derecha_alt,0.991922969070281,23.9566846547835,0.850989482939284,6.06822332876934
37,Zhao_derecha_alt,0.986605658605572,11.2163823336282,0.924386919870384,2.56505323180135
40,Zhao_derecha_alt,0.994992619919109,13.2704093321065,0.960829060297784,2.00810785402008
43,Zhao_derecha_alt,0.992581598878291,21.4158204677657,0.926557642423858,2.75193163220771
46,Zhao_derecha_alt,0.989514191367171,15.5410636144334,0.79375393863869,3.13946209763638
49,Zhao_derecha_alt,0.985801027307085,14.2112849382952,0.849317803540431,2.57300492952494
1,Yun_R_nativo,0.995684393181371,16.4792969140152,-0.286445773982619,6.37611550378583
4,Yun_R_nativo,0.995940169370343,12.0998069533802,-0.381066741025946,4.90721510976322
8,Yun_R_nativo,0.983740330832891,4.66762592127762,-0.242586514693678,4.01797301134305
11,Yun_R_nativo,0.996315430503182,16.575638618151,-0.246215450193323,5.66026882068704
13,Yun_R_nativo,0.987701829242299,15.1303122050261,-0.376098791925502,5.73407316406804
19,Yun_R_nativo,0.985870965397847,5.10742911675298,-0.242461549396574,3.98146915413513
22,Yun_R_nativo,0.996589028353837,8.49110602654434,-0.391273475265555,4.45460384237446
25,Yun_R_nativo,0.994387366740158,5.81463047265638,-0.401033007192841,4.19857058415658
28,Yun_R_nativo,0.997077825521164,22.954517327288,-0.76067189796022,5.48652004928825
31,Yun_R_nativo,0.997951869668914,19.7608355052465,-0.67521477449096,8.28681018885971
37,Yun_R_nativo,0.997195568535152,7.583065625736,-0.443328378544366,5.09671319493962
40,Yun_R_nativo,0.992155936154529,12.1327457301828,-0.494770611976336,3.94018662035552
43,Yun_R_nativo,0.996293628133737,16.0312181618748,-0.677706500769899,4.54710900017413
46,Yun_R_nativo,0.996943419599709,10.5514598845135,-0.548459348134178,4.6236983128278
49,Yun_R_nativo,0.997063804336471,10.0366366110357,-0.651024625286707,4.43699445279059
1,Yun_L_alt,0.984968272101577,17.379702964304,0.334857510673383,5.82871988903021
4,Yun_L_alt,0.985675414154585,13.6550747463507,0.481595962323558,4.24184918405096
8,Yun_L_alt,0.956586921148667,6.24640320891112,0.508029271336984,3.37850271342191
11,Yun_L_alt,0.987393404960764,17.8662554414394,0.388992544561316,5.07990093817663
13,Yun_L_alt,0.972590729875645,16.3780989744369,0.375788786629799,5.14953655175413
19,Yun_L_alt,0.965899405023666,7.11532710055836,0.571167488895654,3.27794176325002
22,Yun_L_alt,0.991864938827821,9.87003975583759,0.419034762711913,3.45003760930952
25,Yun_L_alt,0.977163419150851,6.65591671259289,0.477345708925465,3.50526887257673
28,Yun_L_alt,0.991659206248144,22.2502200765554,0.457090282724967,4.74463354362527
31,Yun_L_alt,0.992753045900745,20.3362587861969,0.270669716789521,7.62230253401428
37,Yun_L_alt,0.984179219682574,7.67223735552528,0.374197050226269,4.47211722123752
40,Yun_L_alt,0.982845105096966,12.0395707958353,0.494083692283854,3.12260518794591
43,Yun_L_alt,0.99025058876897,17.9061618873184,0.464078501601742,3.93213452834676
46,Yun_L_alt,0.988759270367478,11.9944471612767,0.337864324960927,4.03492548249015
49,Yun_L_alt,0.98543909313233,10.6952671204171,0.319263694997093,3.83404600362358
