sub_id,sexo,talla_cm,masa_kg,gan_muslo,off_muslo,gan_tibia,off_tibia,r_x_tob,rmse_x_tob,r_y_tob,rmse_y_tob
1,M,175,75.5278615475429,0.794306204187572,-2.60141954300083,0.851851403612552,-11.8491701227661,0.99981824501974,2.49342205056919,0.993258786605589,2.07618107631807
2,F,165,75.2164101901484,0.788189129518655,-2.59181477222606,0.84875533089393,-11.7887539605032,0.999159976409324,4.11040436747121,0.987486999935017,2.4041394548414
3,M,180,90.1785960656099,0.794233289538517,-2.58040118667866,0.85128407539943,-11.909060312196,0.999326923569977,2.81904345744868,0.991373462939499,1.26352873940545
4,M,183.5,68.7529807388109,0.792464313283442,-2.61330633269237,0.853288046038117,-11.8732767592251,0.99943021437715,1.93291788528897,0.97790933197473,0.976051270116061
5,M,182.6,95.0301805072904,0.79573241331274,-2.87496455248669,0.85338447884186,-11.9021376163196,0.994953844540689,4.82598678432337,0.976960920808056,1.02133674914229
6,M,167.5,70.5547276937562,0.794341049874058,-2.64841019427871,0.85247568283163,-11.8371167112707,0.999110721018142,3.41647725837774,0.992068359734663,0.792669966369196
8,F,171.6,75.6063604141372,0.792845822529474,-2.51855340878956,0.853628407553501,-11.8347502046281,0.998126232287966,2.34057874047708,0.980374813253646,1.35707306121828
11,F,170.1,68.8386437396119,0.791263833136243,-2.47771090202045,0.851662457705807,-11.8737721896516,0.999454397664475,1.96338482276425,0.993413658579882,1.40059307303549
12,M,185.6,89.7650312805226,0.795696277783567,-2.57695574728513,0.855260823413914,-11.9187740808595,0.997063774238041,1.83707483570589,0.99178312756369,1.83694240500667
13,F,178,73.1549189537972,0.790855945863834,-2.53584528494443,0.850795415017635,-11.8557528533962,0.998071067653273,3.81617096523372,0.984954387651283,1.17460795426207
14,M,176.5,94.315477454296,0.793220049344451,-2.64823910792837,0.846416256064116,-11.869085401019,0.997691399705746,3.79626204906652,0.995103125875974,2.85630649948485
15,F,166.7,62.8642010559092,0.789368948185787,-2.63211408809548,0.845262350134648,-11.8367567503472,0.999779805413479,2.20393857365281,0.99413762921291,2.59429402801338
16,F,174,70.4743249550463,0.792776187090266,-2.60649513082917,0.84721537657923,-11.8792618195214,0.998637040272451,3.88980454884357,0.984394746917164,1.46408802365594
17,M,185,81.1875898901702,0.790656656926597,-2.46960357048275,0.849714702937695,-11.7934357416391,0.998908695171779,5.04570811990012,0.984595944025483,3.66329597353557
18,F,173.7,73.2929661628616,0.79369684877373,-2.58897453327338,0.852144123326884,-11.776255828094,0.996344484882883,6.52129996321729,0.94139530442337,2.72044258801235
19,F,169,63.2347601966772,0.793756819693855,-2.5941356662522,0.85315562199839,-11.8430382329356,0.998890263700615,3.70328657990381,0.984699938383562,1.29826310501908
20,M,177,73.2688400668888,0.790535926840073,-2.702014637825,0.849414317562169,-11.7257465913396,0.999527477495025,2.04219130048016,0.985067249985883,3.42784341013408
21,M,172.5,58.029067769687,0.786681021271077,-2.56325756394616,0.847955974667327,-11.7792860058283,0.999542071597807,1.5130537900446,0.985932086642087,3.75000776821951
22,M,184.5,85.818703009347,0.795572442116075,-2.63335419372823,0.856399983629237,-11.801034770635,0.99634781543184,4.0339629678379,0.990591931838204,1.45818686222056
23,F,172.5,76.0650917394403,0.788981984629091,-2.49206805779948,0.848706348227461,-11.9011516251175,0.999545609859872,1.29526583890919,0.992493557362427,0.784024707157861
25,M,178,80.1891395373311,0.795422384325738,-2.62974401923398,0.854399547154833,-11.7765755161031,0.997671189107348,1.80975189471519,0.997157536536661,0.992069825007493
26,M,175,81.4829453348938,0.79363750533464,-2.65056182670834,0.852213844814048,-11.8653362127119,0.999654653429202,2.29146754617901,0.981977688786758,1.04463921313221
27,F,166.2,62.2313710239986,0.791700026925605,-2.52519287899917,0.853407088147373,-11.929582194255,0.998053602412684,4.94618759065433,0.973523383556515,2.2109441259461
28,M,172.5,103.593135418738,0.790017562606167,-2.50718802379017,0.849065068691561,-11.8429648498276,0.998729822090856,2.37002390633272,0.987497624598826,1.06009040963792
29,M,170,89.5211415177387,0.795610771728377,-2.66294845668739,0.85353975377509,-11.8917091598564,0.996239273215951,1.93679988832462,0.988761851404472,1.81125165666763
30,M,174.5,68.8626160079028,0.794327804250664,-2.6181583164413,0.853095475751496,-11.8548447605289,0.996014137939932,3.03006919094533,0.994062767763004,1.01954457969504
31,M,183,80.5796896442,0.790799486818115,-2.60607163701519,0.850236906712262,-11.7758443535177,0.997942472941372,3.22011984462074,0.993143305380979,3.62083060913537
32,M,169,68.1462802193499,0.789877677876736,-2.53087100632015,0.848656713773414,-11.8157023742237,0.998179717085079,3.44409123408695,0.99559059920278,1.77660074673334
33,F,161,76.3501879074856,0.788103908729789,-2.6341595901641,0.851097347760316,-11.6991558071918,0.998395265321505,2.33246050710912,0.992977203005691,1.25233695766607
34,M,171.5,75.2406914314951,0.79374496761794,-2.60357199309101,0.851553281452418,-11.8497766260275,0.999069826423286,2.32110599779021,0.987182721430037,1.17761838383917
35,M,175.5,84.4622316298904,0.790882799730943,-2.55695738862757,0.852272481862364,-11.8366135972247,0.999661836911021,1.98139240247258,0.992415164897959,0.539022767271462
36,M,169.6,54.1404927112299,0.79450496416574,-2.58862986956266,0.853206458905695,-11.9463453789774,0.997302916439377,2.19484742266576,0.99044341096899,1.27790977768468
37,M,186.6,90.3777449015748,0.795584301953893,-2.60378691817908,0.854294028884183,-11.8080446363732,0.996027453973359,1.96046781297751,0.996581001903092,0.798729270965421
38,M,180.7,76.8189768216808,0.791159228217059,-2.53226427712509,0.848520030925897,-11.6647713568231,0.999873244100654,1.44807419693298,0.986126162697093,4.5771421248984
39,F,170,63.0230422925332,0.793087910630183,-2.57560066880286,0.852116441673384,-11.8672735095727,0.998999721702766,1.51478635328941,0.996938294534566,0.401455877047493
40,M,183.6,136.136570143127,0.793555887918307,-2.6854594368637,0.852961415737109,-11.9080055190187,0.999029587942243,1.67332044655484,0.973515114426211,2.62460920846936
41,M,185.5,85.7784060016926,0.79332653165534,-2.56312538653831,0.854220357917012,-11.7945572347649,0.995278758860141,2.93264651866393,0.966831740974549,1.25468665572436
42,F,178,79.4098032781828,0.796144822854669,-2.67220550757306,0.855284147827358,-11.8573693648305,0.991109526349668,2.69066499533055,0.985493880109982,2.38354671049267
43,M,179,61.0226744015572,0.791607609339016,-2.6253872735163,0.850139736730586,-11.91620285074,0.998001544923584,5.00482385018259,0.98247702701258,1.6930376949853
44,F,164.5,61.3242775674791,0.795290156412914,-2.65226327157797,0.85086231736807,-11.6850903814302,0.999271650958922,3.11346052434555,0.979420373265313,0.933330993921642
45,F,163,79.0186186864614,0.787300412857072,-2.56685022119701,0.847582575229205,-11.8353332759163,0.998940858026754,3.64861211870726,0.988891324509478,2.44591710538698
46,F,165,64.6102763234205,0.793023835442933,-2.57597231557535,0.851722299122275,-11.8794733966951,0.997314598573385,3.66420817650503,0.976163247431469,0.988390921279654
47,F,165.8,61.0617585426448,0.792208224904692,-2.53807100902344,0.853218914159734,-11.7869144200245,0.996937215398945,2.14186120572399,0.991446325470531,0.604096107507911
48,M,171.5,68.4202597262979,0.793916653985552,-2.53618775933799,0.85347272257447,-11.8730076671694,0.999279285493605,3.13382401695782,0.98719354492498,0.757047515103629
49,M,174.5,80.6332071538085,0.79543887539069,-2.71481777887307,0.853836410925176,-11.9182008227563,0.995928152110951,2.85583203512455,0.974043927368012,1.16488084109434
50,M,174.2,96.2990475091724,0.794059323128453,-2.54568961933319,0.853783067223033,-11.8445552344952,0.995463997374099,3.68389586380443,0.994555671199773,0.565826636511679
51,F,169.5,65.7334424131134,0.792965979531797,-2.61594326828289,0.85131356103838,-11.8379373332966,0.995435025370933,2.93463155856223,0.937069358229193,1.57169717701728
