sub_id,r_x_tob,rmse_x_tob,r_y_tob,rmse_y_tob,r_x_rod,rmse_x_rod,r_y_rod,rmse_y_rod
1,0.752121413687979,5.90169851802193,0.924190240063601,1.21489053548873,0.992146482138692,2.33031083101618,0.137511880850806,1.66888875993797
2,0.812226242744389,15.307634808043,0.946863288457718,1.15416271409824,0.993878708852842,9.15166749891253,0.269294378887243,1.27716345104161
3,0.842560158195041,1.88851600138294,0.926669519485939,0.763434231719099,0.993181767179145,3.53842234086927,-0.137165632600306,1.75425198858344
4,0.609439999367082,1.74996758039327,0.951603008414681,0.838288091407353,0.988171130550324,4.6513731360916,0.228603578746138,2.14355261097519
5,0.760308747853816,2.54657841164487,0.897773377252359,1.2173877732176,0.999138722032221,3.20175110301903,-0.507993544287055,2.45081526396521
6,0.414902404015051,1.88771199658189,0.890080539243762,0.56484778046434,0.99433889669463,2.87633536841434,-0.247561910810307,1.72728394449733
8,-0.155094509310902,2.97771552862737,0.920497959777144,0.438757923773571,0.990699504373398,3.13387841558291,0.210260050141123,1.007693521897
11,0.832767016785241,4.31538291918711,0.922815582833504,1.17837227757902,0.993853934048007,3.81943506805263,-0.534668958953577,2.06400508215935
12,-0.672649010490919,7.72568853033304,0.916290670626479,0.523153802850048,0.992536391256115,5.45756502476914,-0.518588031692311,1.86420472088407
13,0.650654867724192,5.74413935546256,0.926318487417156,1.08793300466774,0.99077365279241,6.25556293410953,0.280494699549403,1.3696920471294
14,0.684003332659102,12.1074710877092,0.923412779038267,1.17156339926256,0.993681809743168,6.54330141327874,-0.246931732224525,2.20188431311788
15,0.640387621283508,12.1482786945662,0.944803538264734,0.728711920905197,0.998204963184173,3.19610425271849,0.146149988802367,2.37745546285362
16,0.83742847893636,7.32944381568169,0.927925480053049,1.01456934308193,0.993706607322124,3.9509593930443,0.057731780029193,2.35624480758482
17,0.805626013307436,12.3685176589774,0.841712363136538,2.34250247178754,0.990766687625243,7.39104506854252,-0.115830824991527,3.14442092301331
18,0.770258268123371,7.99683914140827,0.879345942716747,1.79324925822128,0.998418120883157,4.49402684372015,0.584991932995239,1.40983114962843
19,0.157428859833787,2.40755153694748,0.907625712437575,0.715342999587908,0.993897516194449,2.94683662776396,-0.0125219589004711,1.34077634025897
20,0.789668720589084,8.29634348766041,0.924303437053813,1.30764055255661,0.99394148015927,4.50622079726836,0.668055630258056,0.963005331019733
21,0.821645095756144,9.03169689673277,0.900027989275083,1.71219360858888,0.990843146581468,5.42780997585405,0.2413528187891,1.75292303666616
22,-0.599858703719564,6.41040484356315,0.886564597953471,1.34731269191051,0.980459652056241,2.98033597614382,-0.0731181751650675,1.42047709593564
23,0.820174885310234,8.16755872968882,0.9548462508275,0.669833062008761,0.995470837662948,6.11877407563668,-0.0655468767103949,1.68567080692454
25,-0.635584524289305,5.65758764635998,0.890341936628109,0.801342211465328,0.989672468710609,5.63235931924903,0.460161354029473,1.32299125349174
26,0.651481975712972,3.46711804486374,0.932968461623718,0.567093132392163,0.993872516276022,1.80497598435561,-0.0454208704775585,1.98151655215068
27,0.836481681762748,2.40355669368003,0.935095314773588,1.76480410158069,0.987086682528293,3.23893855263489,-0.328508198095416,2.02835488698776
28,0.885283770563091,6.98541003948046,0.909712006995847,0.901473314202964,0.996045339408778,3.81858287361034,0.144921830191352,1.61612532899569
29,0.391788436636809,1.59585875346193,0.968887622428875,0.618043816728786,0.99482325688701,1.93868599714262,0.29899776755487,0.925821074538575
30,0.537959288946882,1.71313314177889,0.953476739099555,0.536081356799931,0.992583948856102,2.18002226115023,-0.041840063256468,1.62381579940145
31,0.771573047467693,7.83122295370346,0.881068924826395,2.59180649611419,0.991954838511644,3.29610939025191,0.0950964813138201,2.45096280242641
32,0.798902741230186,7.82228986740845,0.927212190065692,1.20653732227148,0.985338400024226,3.8932299365792,0.253549800128331,1.68246191516627
33,0.738424304285125,7.93825054525632,0.975632317007849,0.495216620706448,0.973182053192122,9.15588673184865,0.827853238212583,1.81162288615576
34,0.586400862718102,3.03007050530564,0.934772379162694,1.11417925521385,0.989287920480649,2.97123447703968,0.298959624086388,1.38320282864225
35,0.621587827637434,2.50236851880715,0.94425233500016,0.71794718637002,0.985624572494241,2.6279147033211,0.223192287353394,1.49620790018375
36,0.255624718565632,3.1186840702531,0.965485268358432,0.798754235310717,0.997666414790142,2.52824158704357,-0.345099052523044,1.82180559053012
37,-0.65318838067252,5.51419227716458,0.856894825607357,1.3359345417564,0.992072871096432,3.65710142890488,-0.220101130536562,1.93507889214309
38,0.790412999573483,8.66732918171711,0.773747993346584,3.02342098115833,0.984743539618477,3.87974850950191,0.283563976342783,1.46800171160355
39,0.619505501445851,1.4004663478545,0.940709081725363,0.779953792546966,0.995145655385449,1.16586389747242,0.11007906746994,1.8030950179395
40,0.178411539179249,2.78943492416254,0.908858981008039,1.76183069502153,0.986862884147867,4.03507892445728,0.0773191647873332,1.68384108779539
41,-0.098935453997046,1.77432378337703,0.880008481616542,0.905188401968667,0.989574596075672,3.34502270349446,0.238985744094681,1.34035734864602
42,-0.728508217370852,8.33188271214258,0.922975208409444,0.387022267378196,0.989770013620322,6.43957656811444,-0.184587470487569,1.50868787944588
43,0.744764410676558,2.85126577399485,0.930831684175984,1.88443262688168,0.976886303845736,5.45181743589048,-0.0221178230519854,1.91808046707718
44,0.387645782489135,1.58250960628746,0.930827577113408,0.723431294835381,0.989515119709863,4.56689116114919,0.318910527094914,1.12341620891911
45,0.445507587323218,11.8779396443063,0.939938227928515,0.722012033908655,0.990517360421552,7.18961376538561,0.245033574478366,1.49532558146838
46,0.741295361116234,4.54220217307611,0.918890425882969,0.876258629466688,0.994973396585708,2.3445990046489,0.146885628793199,2.43551162398351
47,0.501141134885131,2.23173221871611,0.93438554167033,0.646733409373139,0.990510161598393,2.67019245242139,0.359803593783942,1.19500686197049
48,0.0592864637530769,2.2392749655818,0.930021950819955,0.53555914744731,0.994167390017326,3.53432160455021,-0.324306875165537,1.86159644722658
49,-0.543465383356089,3.95977259400811,0.922286728249547,0.805839421380304,0.996235196781905,4.77806578221825,-0.161032560468288,1.74032132015413
50,0.498391372687634,2.05238959760508,0.940324635825665,0.64801226023951,0.992331120494917,2.88103595367688,0.153843201674354,1.48309389441198
51,0.712521511385512,5.08327361075505,0.903245515002717,1.58974582062691,0.993082875376298,2.10748887321219,0.0778112620315596,1.84964852262903
