variante,r_x,rmse_x,r_y,rmse_y
"Tobillo fijo, SIN residuo",NaN,4.85242885415151,NaN,1.89590407830313
"Tobillo fijo, CON residuo LOSO (=vigente)",0.94680333155571,1.29976359149638,0.984119404325395,0.921855843244947
"Cadera ancla, SIN residuo",0.439759792829923,5.43133361135578,0.918436662099627,1.07495323013454
"Cadera ancla, CON residuo LOSO",0.40715467239394,5.00238326753571,0.973890788489502,0.847166988436285
