sub_id,sexo,talla_cm,masa_kg,gan_muslo,off_muslo,gan_tibia,off_tibia,r_x_tob,rmse_x_tob,r_y_tob,rmse_y_tob
1,M,175,75.5278615475429,0.797123842980152,4.20691729054273,-0.217340107812221,-20.498421055671,0.982736030021992,11.7570866777896,0.914319132017037,3.84939696016755
4,M,183.5,68.7529807388109,0.808187546904215,4.07842261650749,-0.219877103577774,-20.6814501487919,0.978370345692696,11.1711214930966,0.942668702332678,2.03385606533225
8,F,171.6,75.6063604141372,0.820150913355949,4.42629736653223,-0.216603840595693,-20.6029178268032,0.941186055307055,11.8674201606413,0.88018478879375,1.77110196251972
11,F,170.1,68.8386437396119,0.788246476490636,4.53388769674444,-0.212406569840713,-20.4756383169586,0.985763586029032,10.2164994406526,0.93747046136545,2.99564885397021
13,F,178,73.1549189537972,0.799010516923476,4.29659561731973,-0.213447515902721,-20.4343170097372,0.963437505244617,15.1544508851492,0.888727309123044,3.05647981472821
19,F,169,63.2347601966772,0.817204475473063,4.19639978078792,-0.214597912562259,-20.5372654668873,0.95500055637431,12.7835873880781,0.911612423724112,1.58484022377346
22,M,184.5,85.818703009347,0.827345476053054,4.07772166698808,-0.22437548649764,-20.6112849929745,0.976907779110326,11.8636417965845,0.917012567572493,1.68141473327089
25,M,178,80.1891395373311,0.825118502473375,4.12486441765428,-0.218671524450106,-20.4436580867761,0.966926616838471,9.96868976763562,0.929313948646662,1.57682090354026
28,M,172.5,103.593135418738,0.781973241539209,4.40589494430314,-0.216998291023409,-20.4164760348996,0.988730415289829,8.51827792536313,0.948109336976209,2.67673016954508
31,M,183,80.5796896442,0.795561211899887,4.07291376616169,-0.21963626938431,-20.2827511559397,0.989512802489723,10.5003917428006,0.895687083226559,5.63052876069005
37,M,186.6,90.3777449015748,0.822098311200082,4.24056577313295,-0.218159012590581,-20.5216992209128,0.97004439132962,10.3134470743199,0.941279213984951,2.20689840427133
40,M,183.6,136.136570143127,0.815448698757609,3.87721510636595,-0.218597325534501,-20.8228263018036,0.965061391597591,11.5638750507589,0.884214692027766,2.16904235502629
43,M,179,61.0226744015572,0.802967546486846,3.99781077213827,-0.218381609469077,-20.7122799649456,0.987111753132434,10.0662508760998,0.910098304598811,2.35802165684005
46,F,165,64.6102763234205,0.79876464692728,4.25996699751205,-0.221925535811898,-20.7306278270545,0.988150869447298,11.0031981837078,0.905089866735722,2.16115909673266
49,M,174.5,80.6332071538085,0.816742802371395,3.86607183808185,-0.22279408939353,-20.9538957587975,0.977376065438782,8.15322365650808,0.905166302287253,1.90116992860969
