sub_id,sexo,talla_cm,masa_kg,gan_muslo,off_muslo,gan_tibia,off_tibia,r_x_tob,rmse_x_tob,r_y_tob,rmse_y_tob
1,M,175,75.5278615475429,0.849425810276072,13.1124146756409,-0.688493121205918,-20.4898714016069,0.992588302181379,8.33154242699796,0.902786005795126,4.62393623958666
4,M,183.5,68.7529807388109,0.857208484311541,13.0946421953358,-0.683332828175747,-20.7631125894398,0.993362696043364,6.55140265214438,0.783001223185009,3.34159943671498
8,F,171.6,75.6063604141372,0.868868669928725,13.5438496458227,-0.709078561967769,-20.7540037647075,0.972649925441904,8.09623289260935,0.724207015069609,2.69210642299487
11,F,170.1,68.8386437396119,0.841350573836893,13.353038808538,-0.702239973193677,-20.6914712937154,0.994627438127615,6.66365871622201,0.896554667675806,3.97653760788808
13,F,178,73.1549189537972,0.842516108742878,13.158952838337,-0.67509718069035,-20.5345712824672,0.981690932935604,10.490785605703,0.771909065832845,4.15406493879846
19,F,169,63.2347601966772,0.876459730646903,13.3757011955854,-0.731723376912936,-20.922441055602,0.977898316451468,9.48338384862531,0.736087693754279,2.6407204281155
22,M,184.5,85.818703009347,0.854341180422303,13.0038107978119,-0.666560823148316,-20.4890746055845,0.994037932269478,7.22612263163262,0.891858093693028,2.4419184462845
25,M,178,80.1891395373311,0.869460319927239,13.2466685439306,-0.700659488448928,-20.5246248593225,0.989926842370036,5.96518821869148,0.800764365852039,2.67384842408999
28,M,172.5,103.593135418738,0.823729051904012,12.9995672107181,-0.645722765726428,-20.2171840466761,0.996363263320019,4.73661582828583,0.889986716455654,3.52350405696878
31,M,183,80.5796896442,0.837397390370795,12.8331272846435,-0.650446498961349,-20.1177505967934,0.997539537858229,5.84113082213178,0.879912503712845,6.58152010922682
37,M,186.6,90.3777449015748,0.863706039871837,13.3133927498459,-0.678415324422409,-20.5773874497728,0.994117245262772,4.9160559916929,0.825358240400261,3.47996925255974
40,M,183.6,136.136570143127,0.839767781321128,12.7266410494703,-0.780009987551252,-21.8099579430985,0.985661972812785,7.73767950239164,0.763147077415967,2.41981319985503
43,M,179,61.0226744015572,0.858552814643093,12.9728469859357,-0.697061913258683,-20.9099949292712,0.995143622358442,7.46336835441197,0.799500231206018,2.97009625463636
46,F,165,64.6102763234205,0.855475809157999,13.1807154195969,-0.696425882597858,-20.7222387113892,0.99551590549711,8.45145716137653,0.906662070954464,2.73142185073676
49,M,174.5,80.6332071538085,0.864013855068005,12.8844504722225,-0.670667842111946,-20.7646372129096,0.993834969641187,4.29935409808229,0.888681081057641,2.60273346276715
