sub_id,ganancia_thetapie,offset_thetapie,rmse_residuo_100pct_empirico,rmse_con_thetapie_koopman
1,-0.0615216592946847,0.140857103736209,1.1803910060095,2.26383822394218
4,-0.0655300178476163,0.259870975478673,0.764447243426464,1.42715036547874
13,-0.0660998234255457,0.223941168473488,0.56402329704794,1.16934754745784
19,-0.0650841507008146,0.247784636097702,0.884082576312671,1.00070769411516
22,-0.0633481903449009,0.125436090081861,0.922521475419587,1.25507151533559
25,-0.0640858910614348,0.162801656776676,0.698400100092391,0.921096615645458
28,-0.0619847134135838,0.194063785844959,0.623405616993874,1.69880302292234
31,-0.0578087897841014,-0.00973020319114816,2.5181168822235,3.11941004868403
37,-0.0630507873986572,0.121995077813218,0.883423307433404,1.31039691950556
40,-0.0677300851794045,0.367452142949335,2.12091446605723,2.20517748036535
43,-0.0665208873052292,0.358344171177088,1.92680283610579,2.3242582741149
46,-0.0611744081991724,0.181235271672392,0.575849027426089,1.64923820554664
49,-0.0625130340572581,0.144587298430663,0.568502119789145,1.30223970523483
