PctCiclo,SPM_t
0,-21.0430385028604
1,-34.7142291202705
2,-61.9020363539953
3,-33.157197377639
4,-20.6603009222807
5,-16.2773866103568
6,-7.58901760111996
7,-1.89964282015608
8,0.291258632352175
9,0.43721962910735
10,-0.19975824498485
11,-1.19880805450751
12,-1.20186423638731
13,-1.40838669940135
14,-1.08228582746331
15,-0.165664791966877
16,0.62038380975072
17,2.17336261898115
18,4.46801340756394
19,6.27988846236813
20,8.26185567743655
21,10.5760476453093
22,12.2805463815134
23,13.3660181151012
24,14.4772027940907
25,14.9024225487692
26,14.9918713351139
27,14.744277979068
28,14.1059380505591
29,14.6349049794141
30,14.6973731214071
31,14.2926756445563
32,14.9712636452969
33,15.4909679013906
34,15.4316045231777
35,16.2719438297912
36,16.0889603539487
37,16.4979430010103
38,16.0714112502273
39,16.8568076111288
40,18.1745922007346
41,19.5203167040025
42,22.1316941291672
43,24.1640270838815
44,26.3585345676203
45,29.0987430422551
46,31.061994891685
47,34.9661088312799
48,38.2907678209333
49,41.5121944630975
50,44.8786664396961
51,48.8095046716424
52,51.2418683465549
53,56.0181093047319
54,61.9852662463711
55,58.3897596653409
56,63.1699704977913
57,58.7599202897851
58,39.7860973885364
59,31.1113932643811
60,-25.610407321215
