"Time (ms)";"Trajectory 1"
"0";"0"
"8";"1.200489"
"17";"2.400599"
"25";"3.605303"
"33";"4.816729"
"42";"6.032942"
"50";"7.249617"
"58";"8.46225"
"67";"9.667124"
"75";"10.86135"
"83";"12.0427"
"92";"13.2105"
"100";"14.3666"
"108";"15.51448"
"117";"16.65715"
"125";"17.79637"
"133";"18.93256"
"142";"20.06437"
"150";"21.18874"
"158";"22.30139"
"167";"23.39754"
"175";"24.47309"
"184";"25.52517"
"192";"26.55185"
"200";"27.55201"
"209";"28.52534"
"217";"29.47243"
"225";"30.39494"
"234";"31.29612"
"242";"32.18039"
"250";"33.05225"
"259";"33.91553"
"267";"34.77264"
"275";"35.62381"
"284";"36.46688"
"292";"37.2981"
"300";"38.11333"
"309";"38.90896"
"317";"39.68244"
"325";"40.4323"
"334";"41.15791"
"342";"41.8595"
"350";"42.53844"
"359";"43.19736"
"367";"43.83973"
"375";"44.4694"
"384";"45.0908"
"392";"45.70876"
"400";"46.32727"
"409";"46.94861"
"417";"47.57397"
"425";"48.20417"
"434";"48.83986"
"442";"49.48182"
"450";"50.13107"
"459";"50.78851"
"467";"51.4544"
"475";"52.12797"
"484";"52.80791"
"492";"53.49361"
"500";"54.18559"
"509";"54.88496"
