"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.5581721"
"17";"1.118898"
"25";"1.685974"
"33";"2.262717"
"42";"2.854412"
"50";"3.469226"
"58";"4.113531"
"67";"4.786687"
"75";"5.479875"
"83";"6.17743"
"92";"6.85974"
"100";"7.508417"
"108";"8.111465"
"117";"8.664764"
"125";"9.169538"
"133";"9.62809"
"142";"10.04032"
"150";"10.40353"
"158";"10.71565"
"167";"10.97914"
"175";"11.20194"
"184";"11.39505"
"192";"11.56923"
"200";"11.73377"
"209";"11.89641"
"217";"12.0626"
"225";"12.2349"
"234";"12.41295"
"242";"12.59341"
"250";"12.77106"
"259";"12.94089"
"267";"13.09966"
"275";"13.24694"
"284";"13.38529"
"292";"13.5193"
"300";"13.65423"
"309";"13.79464"
"317";"13.94269"
"325";"14.09694"
"334";"14.25366"
"342";"14.41072"
"350";"14.56905"
"359";"14.72871"
"367";"14.88529"
"375";"15.0326"
"384";"15.16819"
"392";"15.29561"
"400";"15.42191"
"409";"15.55244"
"417";"15.68755"
"425";"15.82498"
"434";"15.96377"
"442";"16.10439"
"450";"16.24696"
"459";"16.39102"
"467";"16.53654"
"475";"16.68395"
"484";"16.83402"
"492";"16.98778"
"500";"17.14624"
"509";"17.30984"
"517";"17.47832"
"526";"17.6515"
"534";"17.83009"
"542";"18.01519"
"551";"18.20812"
"559";"18.41087"
"567";"18.62591"
"576";"18.85531"
"584";"19.10057"
"592";"19.36206"
"601";"19.63728"
"609";"19.92142"
"617";"20.21092"
"626";"20.50544"
"634";"20.80725"
"642";"21.11929"
"651";"21.44286"
"659";"21.77734"
"667";"22.12242"
"676";"22.47895"
"684";"22.8476"
"692";"23.22807"
"701";"23.6202"
"709";"24.0252"
"717";"24.44513"
"726";"24.8819"
"734";"25.33699"
"742";"25.81193"
"751";"26.30912"
"759";"26.83216"
"767";"27.3844"
"776";"27.96722"
"784";"28.58066"
"792";"29.22601"
"801";"29.90769"
"809";"30.6314"
"817";"31.40106"
"826";"32.21873"
"834";"33.08638"
"843";"34.00571"
"851";"34.97686"
"859";"35.99859"
"868";"37.06955"
"876";"38.18922"
"884";"39.35855"
"893";"40.57819"
"901";"41.84452"
"909";"43.14861"
"918";"44.47974"
"926";"45.82887"
