"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.1775572"
"17";"0.4584372"
"25";"0.858292"
"33";"1.329329"
"42";"1.826754"
"50";"2.336698"
"58";"2.869623"
"67";"3.44037"
"75";"4.04737"
"83";"4.664352"
"92";"5.254337"
"100";"5.795315"
"108";"6.293391"
"117";"6.772309"
"125";"7.249027"
"133";"7.717997"
"142";"8.158388"
"150";"8.552393"
"158";"8.895136"
"167";"9.193636"
"175";"9.460889"
"184";"9.708951"
"192";"9.9447"
"200";"10.16949"
"209";"10.382"
"217";"10.58135"
"225";"10.76706"
"234";"10.93846"
"242";"11.09537"
"250";"11.23849"
"259";"11.36922"
"267";"11.49003"
"275";"11.60491"
"284";"11.71762"
"292";"11.83048"
"300";"11.94649"
"309";"12.06915"
"317";"12.19931"
"325";"12.33486"
"334";"12.47329"
"342";"12.61382"
"350";"12.757"
"359";"12.90263"
"367";"13.04922"
"375";"13.19604"
"384";"13.34273"
"392";"13.48695"
"400";"13.62694"
"409";"13.76639"
"417";"13.91216"
"425";"14.06816"
"434";"14.23466"
"442";"14.4098"
"450";"14.58987"
"459";"14.77224"
"467";"14.95843"
"475";"15.15203"
"484";"15.35593"
"492";"15.57068"
"500";"15.79214"
"509";"16.01294"
"517";"16.2284"
"526";"16.43878"
"534";"16.64779"
"542";"16.8604"
"551";"17.07934"
"559";"17.30476"
"567";"17.53655"
"576";"17.77369"
"584";"18.01355"
"592";"18.25524"
"601";"18.50292"
"609";"18.76422"
"617";"19.04495"
"626";"19.34522"
"634";"19.65721"
"642";"19.96883"
"651";"20.27424"
"659";"20.57754"
"667";"20.88547"
"676";"21.20171"
"684";"21.52786"
"692";"21.8644"
"701";"22.21043"
"709";"22.56783"
"717";"22.94439"
"726";"23.34642"
"734";"23.76922"
"742";"24.20133"
"751";"24.6383"
"759";"25.08718"
"767";"25.55979"
"776";"26.06428"
"784";"26.59988"
"792";"27.1582"
"801";"27.73156"
"809";"28.32191"
"817";"28.94166"
"826";"29.60453"
"834";"30.3158"
"843";"31.07188"
"851";"31.86696"
"859";"32.69769"
"868";"33.56441"
"876";"34.4726"
"884";"35.42957"
"893";"36.43642"
"901";"37.4874"
"909";"38.57683"
"918";"39.70282"
"926";"40.86589"
"934";"42.06575"
"943";"43.2991"
"951";"44.55832"
"959";"45.83088"
