  0.0003 ,  0.0003 ,  0.1586 ,  2.3195 ,  0.0007 ,  0.6487 ,
 -0.0793 ,  0.0824 ,  0.3169 , -0.1332 , -1.3856 , -0.3400 ,
  0.0414 ,  0.0819 ,  0.3173 , -0.9079 ,  0.0525 , -0.9753 ,
  0.0403 , -0.0002 ,  0.0004 ,  0.7745 , -1.1817 , -0.0000 ,
 -0.0001 , -0.0812 ,  0.1588 , -1.4318 ,  0.0164 ,  0.3234 ,
 -0.0401 , -0.0402 ,  0.1582 ,  0.8420 , -0.0569 , -0.6638 ,
  0.0403 , -0.0002 ,  0.0004 ,  2.3241 , -1.1817 , -0.6505 ,
 -0.0802 ,  0.0819 , -0.0010 , -0.8971 , -0.1415 ,  0.3253 ,
 -0.0398 , -0.0400 ,  0.3170 ,  0.8265 , -0.6759 ,  0.3206 ,
 -0.0401 ,  0.0410 , -0.0005 , -0.8360 ,  0.5515 ,  0.3252 ,
 -0.0406 , -0.0001 , -0.1590 ,  0.7801 , -0.6860 ,  0.3270 ,
  0.0395 , -0.1633 ,  0.0007 , -1.3043 , -1.1505 , -0.3253 ,
  0.1213 , -0.0409 ,  0.3190 ,  0.0488 , -1.0511 , -0.3399 ,
  0.0396 , -0.0008 , -0.3169 ,  0.7843 , -0.5609 ,  0.0036 ,
 -0.0392 ,  0.0011 ,  0.4755 ,  1.5353 , -0.6830 , -0.6558 ,
  0.0790 , -0.0424 , -0.6337 ,  1.6299 , -0.4917 , -0.3181 ,
 -0.0406 , -0.0001 , -0.1590 ,  0.0052 , -0.0637 ,  0.3270 ,
  0.0396 , -0.0008 , -0.3169 ,  0.0094 , -0.5609 , -0.3217 ,
  0.0399 , -0.0005 , -0.1582 ,  1.5542 , -0.5602 ,  0.0018 ,
 -0.0806 ,  0.0004 , -0.0008 ,  0.0007 , -0.1259 , -0.3252 ,
 -0.0395 , -0.1217 ,  0.1599 ,  1.7585 ,  2.4196 ,  0.3029 ,
  0.0401 , -0.0410 ,  0.0005 , -0.7138 ,  0.0707 ,  0.6504 ,
  0.0807 , -0.0411 ,  0.1594 ,  0.8409 ,  0.1296 , -0.3120 ,
 -0.0401 ,  0.0410 , -0.0005 ,  1.4885 , -0.0707 , -0.3252 ,
 -0.0409 , -0.0409 , -0.1590 ,  0.0667 , -0.0559 , -0.3234 ,
 -0.0406 , -0.0001 , -0.1590 ,  1.5549 ,  0.5586 , -0.3234 ,
  0.0808 ,  0.0404 ,  0.0007 ,  1.4875 , -0.5043 , -0.6505 ,
 -0.0401 ,  0.0410 , -0.0005 ,  0.7137 , -0.6931 , -0.9757 ,
 -0.1217 , -0.0813 , -0.1597 , -0.6461 , -0.1739 ,  0.3270 ,
 -0.0405 , -0.0406 , -0.0003 ,  0.8366 , -0.0551 , -0.3252 ,
 -0.0009 , -0.0414 , -0.3172 ,  1.6208 ,  0.0063 , -0.3217 ,
  0.0405 ,  0.0406 ,  0.0003 ,  0.7130 ,  0.0551 , -0.0000 ,
  0.0002 ,  0.0408 , -0.0001 ,  3.0377 , -1.8749 ,  0.6505 ,
  0.1612 , -0.0008 ,  0.0016 , -0.0014 ,  0.8740 , -0.3253 ,
  0.0810 ,  0.0811 ,  0.0007 ,  1.4260 ,  0.7325 , -0.0000 ,
  0.0808 ,  0.0404 ,  0.0007 , -0.0622 ,  0.7403 , -0.3253 ,
 -0.0403 ,  0.0002 , -0.0004 , -1.5494 , -0.6853 ,  0.3252 ,
  0.0400 , -0.1222 ,  0.1591 , -0.5980 ,  0.0890 ,  0.3203 ,
  0.1208 ,  0.0399 , -0.1575 ,  1.4920 , -0.4421 , -0.6487 ,
  0.0008 , -0.0398 ,  0.4760 , -1.5030 ,  2.4990 , -0.6558 ,
 -0.0008 , -0.0818 , -0.1585 , -0.6471 , -0.6075 ,  0.0018 ,
  0.0813 , -0.0404 ,  0.3172 , -1.5042 ,  0.7583 , -0.0063 ,
  0.0011 ,  0.0821 ,  0.3171 , -0.9076 , -0.0141 , -0.6541 ,
  0.0810 ,  0.0811 ,  0.0007 , -0.1236 ,  0.1102 , -0.3253 ,
 -0.0004 , -0.0815 ,  0.0002 ,  0.8977 ,  1.2602 , -0.0000 ,
 -0.0003 , -0.0003 , -0.1586 ,  0.0049 ,  0.6215 ,  0.6522 ,
  0.1200 ,  0.0393 , -0.4748 , -0.8227 ,  0.1787 , -0.6451 ,
 -0.0806 ,  0.0004 , -0.0008 ,  2.3252 ,  2.9853 , -0.3252 ,
  0.0404 ,  0.0810 , -0.1584 , -0.8932 ,  1.2910 , -0.6487 ,
  0.0810 ,  0.0811 ,  0.0007 , -0.1236 , -1.1344 , -0.6505 ,
 -0.0416 , -0.1227 , -0.3174 , -0.5804 , -0.6633 , -0.3217 ,
  0.0804 , -0.0412 ,  0.0009 ,  2.3853 , -0.4887 , -0.3253 ,
 -0.0405 , -0.0406 , -0.0003 ,  0.8366 , -0.6775 , -0.6505 ,
  0.0407 , -0.0405 ,  0.3180 ,  0.0508 , -0.5519 ,  0.3360 ,
