"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.1500282"
"17";"0.2994003"
"25";"0.4484749"
"33";"0.5972519"
"42";"0.7450409"
"50";"0.8908119"
"58";"1.033951"
"67";"1.174496"
"75";"1.312744"
"83";"1.448784"
"92";"1.581966"
"100";"1.710705"
"108";"1.832802"
"117";"1.946121"
"125";"2.049076"
"133";"2.14064"
"142";"2.220139"
"150";"2.287426"
"158";"2.343094"
"167";"2.388245"
"175";"2.424145"
"184";"2.451897"
"192";"2.472218"
"200";"2.485542"
"209";"2.492241"
"217";"2.492638"
"225";"2.486954"
"234";"2.475487"
"242";"2.459034"
"250";"2.439098"
"259";"2.417442"
"267";"2.395298"
"275";"2.373039"
"284";"2.350311"
"292";"2.326195"
"300";"2.299515"
"309";"2.269466"
"317";"2.236004"
"325";"2.199402"
"334";"2.159805"
"342";"2.117348"
"350";"2.072521"
"359";"2.026134"
"367";"1.978912"
"375";"1.931198"
"384";"1.883068"
"392";"1.834366"
"400";"1.78447"
"409";"1.732319"
"417";"1.676708"
"425";"1.6166"
"434";"1.551247"
"442";"1.480522"
"450";"1.404808"
"459";"1.324272"
"467";"1.238369"
"475";"1.146004"
"484";"1.045769"
"492";"0.9363937"
"500";"0.8175964"
"509";"0.6906662"
"517";"0.558651"
