"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.09285736"
"17";"0.1833954"
"25";"0.272789"
"33";"0.3644447"
"42";"0.461853"
"50";"0.5675011"
"58";"0.6822701"
"67";"0.8046265"
"75";"0.9306221"
"83";"1.05555"
"92";"1.175552"
"100";"1.287743"
"108";"1.389534"
"117";"1.47847"
"125";"1.552841"
"133";"1.612347"
"142";"1.658562"
"150";"1.69487"
"158";"1.725086"
"167";"1.751583"
"175";"1.775146"
"184";"1.796364"
"192";"1.816418"
"200";"1.836651"
"209";"1.857956"
"217";"1.880466"
"225";"1.903267"
"234";"1.924328"
"242";"1.941216"
"250";"1.952225"
"259";"1.956898"
"267";"1.95562"
"275";"1.948845"
"284";"1.936813"
"292";"1.919884"
"300";"1.898853"
"309";"1.874619"
"317";"1.847591"
"325";"1.817802"
"334";"1.785183"
"342";"1.749737"
"350";"1.711834"
"359";"1.672035"
"367";"1.630562"
"375";"1.587219"
"384";"1.54187"
"392";"1.494732"
"400";"1.44603"
"409";"1.395554"
"417";"1.342812"
"425";"1.28735"
"434";"1.228642"
"442";"1.166153"
"450";"1.099991"
"459";"1.030804"
"467";"0.959053"
"475";"0.8846397"
"484";"0.8068924"
"492";"0.7247581"
"500";"0.6373177"
"509";"0.544014"
"517";"0.4447441"
"526";"0.340126"
"534";"0.2318764"
