"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.05864334"
"17";"0.1189384"
"25";"0.1844635"
"33";"0.260498"
"42";"0.3516273"
"50";"0.4598427"
"58";"0.5838013"
"67";"0.7183151"
"75";"0.8554192"
"83";"0.9868469"
"92";"1.106354"
"100";"1.211208"
"108";"1.301517"
"117";"1.377926"
"125";"1.440189"
"133";"1.487385"
"142";"1.519375"
"150";"1.538567"
"158";"1.550152"
"167";"1.560638"
"175";"1.575909"
"184";"1.599903"
"192";"1.633945"
"200";"1.676369"
"209";"1.723469"
"217";"1.771553"
"225";"1.81741"
"234";"1.857536"
"242";"1.889069"
"250";"1.911259"
"259";"1.925022"
"267";"1.931873"
"275";"1.933884"
"284";"1.933216"
"292";"1.930984"
"300";"1.927246"
"309";"1.921963"
"317";"1.915161"
"325";"1.906406"
"334";"1.894474"
"342";"1.877922"
"350";"1.8563"
"359";"1.830593"
"367";"1.802212"
"375";"1.77195"
"384";"1.739914"
"392";"1.705799"
"400";"1.669827"
"409";"1.633575"
"417";"1.598881"
"425";"1.565639"
"434";"1.531151"
"442";"1.492485"
"450";"1.449123"
"459";"1.402035"
"467";"1.351177"
"475";"1.295303"
"484";"1.233646"
"492";"1.166817"
"500";"1.096012"
"509";"1.021702"
"517";"0.9429474"
"526";"0.8583565"
"534";"0.76791"
"542";"0.6737061"
