idx_ini,idx_fin,x_ini,x_fin,t_pico,p_valor
2,5,0.6,2.4,11.5831211665163,0.00292682926829268
7,14,3.6,7.8,8.77199420585635,0.00292682926829268
16,19,9,10.8,4.21932313142383,0.0263414634146341
96,101,57,60,11.2358020871733,0.00292682926829268
