PctCiclo,SPM_t
0,0.436674144236123
0.6,-4.16436552050307
1.2,-11.5831211665163
1.8,-10.1748005336797
2.4,-4.71983650262387
3,-3.29877885497379
3.6,-5.72377448475709
4.2,-6.57517585991257
4.8,-8.54257409334032
5.4,-8.77199420585635
6,-7.99472023530824
6.6,-7.3767471677596
7.2,-5.55795986402699
7.8,-4.1449853825914
8.4,-3.38537043964929
9,-4.02164225143042
9.6,-4.21932313142383
10.2,-4.11006622374286
10.8,-4.17135462541316
11.4,-3.59344001512511
12,-3.01205393852256
12.6,-2.29296714432022
13.2,-1.84632228252128
13.8,-1.7513946218004
14.4,-1.44290406535115
15,-1.13878805951157
15.6,-2.11815343749958
16.2,-1.701109310252
16.8,-1.4122367854139
17.4,-1.22296937577994
18,-1.23601193781131
18.6,-1.01064015824068
19.2,-0.924803585841293
19.8,-1.0684310675097
20.4,-0.963786275312336
21,-0.824065561737073
21.6,-1.07207431711872
22.2,-1.0085203128299
22.8,-0.93158865774285
23.4,-0.826899090882527
24,-0.651353980657107
24.6,-0.747901641445999
25.2,-0.528229694091785
25.8,-0.80159731415262
26.4,-0.729440599474433
27,-1.05143707405665
27.6,-1.04266964086181
28.2,-1.02626758412277
28.8,-0.90050663043692
29.4,-0.864324794467674
30,-0.803994886397978
30.6,-0.822037652833767
31.2,-0.577648373219841
31.8,-0.632995905301495
32.4,-0.336613361368312
33,-0.323868933445275
33.6,0.0381914824075586
34.2,0.172072026474271
34.8,0.255525373251749
35.4,0.233140170721799
36,0.380987946593072
36.6,0.572078142711237
37.2,0.761880940289223
37.8,0.745690129580871
38.4,0.763892865803835
39,0.878580553972871
39.6,0.829635908447298
40.2,0.799789560293263
40.8,0.903445967512226
41.4,0.908651559936992
42,0.930755993498761
42.6,1.10136585608344
43.2,1.1852500951943
43.8,1.28856136681094
44.4,1.40603893452974
45,1.50373780293856
45.6,1.66706359830147
46.2,1.66784409586612
46.8,1.81793414241235
47.4,1.64261328895754
48,2.07930852209625
48.6,2.06629080858411
49.2,2.20933057840649
49.8,2.7192315541889
50.4,2.75316284768587
51,3.23704681033978
51.6,2.52377175520563
52.2,3.33269317087987
52.8,3.29613792044381
53.4,3.41964208767325
54,2.9237250322719
54.6,3.1035672285875
55.2,3.5109123228317
55.8,2.80354377587821
56.4,3.43349706774554
57,3.88653920549983
57.6,4.46456724900549
58.2,3.93933231526792
58.8,4.09752309342306
59.4,5.37930405590393
60,11.2358020871733
